id,stratum,n,mean,sd,rsd,skew,excess_kurtosis,dagostino_k2,dagostino_p,anderson_stat,anderson_crit_5pct,rejects_normal_at_5pct,empirical_below_normal_p05,empirical_above_normal_p95,empirical_p05_p95_coverage
interpupillary_distance,both|pooled,3996,64.37037037037037,3.97311212879122,0.061722685545088,0.1563124782292255,-0.004991129503806313,16.13902786152268,0.000312935352352597,4.565948303341884,0.752,True,0.04229229229229229,0.06231231231231231,0.8953953953953954
interpupillary_distance,female|Black,589,65.51358234295417,3.7720759142436346,0.05757700585654683,0.10613369266333036,0.38697843960407363,4.35900638870033,0.11309770426406947,0.9913396807919526,0.751,True,0.04923599320882852,0.05263157894736842,0.8981324278438031
interpupillary_distance,female|Hispanic,126,62.169841269841264,3.1385670575285105,0.0504837553614768,-0.34265620510261535,0.05288691477628493,2.7811939613488854,0.24892665586295792,0.3776416892687706,0.747,False,0.05555555555555555,0.047619047619047616,0.8968253968253969
interpupillary_distance,female|Other,220,61.98863636363637,3.3997190260675803,0.054844229934729066,0.04159942981654049,-0.3327160506508551,1.0893615124938816,0.5800269237578288,0.6450946538860762,0.749,False,0.05909090909090909,0.06363636363636363,0.8772727272727273
interpupillary_distance,female|White,518,61.165057915057915,3.140838985434103,0.0513502168148994,0.06069654262167635,-0.04901449391777435,0.3331016866312839,0.846579772918588,1.0752887558794555,0.751,True,0.04247104247104247,0.06563706563706563,0.8918918918918919
interpupillary_distance,female|pooled,1453,63.13964211975223,3.9780801443559324,0.06300447723176837,0.26097230352326833,0.16208915389806178,17.750704242511578,0.0001397923960526497,2.2553048001432217,0.752,True,0.05299380591878871,0.05437026841018582,0.8926359256710255
interpupillary_distance,male|Black,634,67.70331230283912,3.6350590226577384,0.05369100711643178,-0.03301245113946898,-0.14175581498107404,0.5442050070514285,0.7617761723442497,0.7643254661300034,0.751,True,0.052050473186119876,0.05362776025236593,0.8943217665615142
interpupillary_distance,male|Hispanic,412,64.6626213592233,3.3157459513579397,0.051277629667034696,0.028401726343422758,0.047337533010678445,0.1941892346703765,0.9074701396647304,0.6415356449458613,0.751,False,0.04611650485436893,0.04854368932038835,0.9053398058252428
interpupillary_distance,male|Other,130,64.8923076923077,3.8534111614269944,0.059381632407006786,-0.26472953872051425,0.1874887012471933,2.147098948877328,0.3417931756421538,0.7454703179854789,0.748,False,0.05384615384615385,0.06153846153846154,0.8846153846153846
interpupillary_distance,male|White,1367,63.99502560351134,3.39885285252345,0.053111203886087026,0.17032148880511444,0.05597543353599699,6.850341935294837,0.03254371659078715,2.0007178619782735,0.752,True,0.03730797366495977,0.051207022677395755,0.9114850036576445
interpupillary_distance,male|pooled,2543,65.07357451828548,3.795890164776676,0.05833228300237359,0.17775053635962537,-0.046361962810817836,13.438728744426788,0.001207305366958487,3.7169708203332448,0.752,True,0.03814392449862367,0.06134486826582776,0.9005112072355486
