id,unit,n,template_mean,mediapipe_mean,mean_difference,sd_of_difference,loa_low,loa_high,mean_difference_pct,loa_width_over_between_subject_sd,pearson_r
interpupillary_distance,mm,102,62.54825003293633,59.40946008929404,-3.1387899436422715,2.708304126443556,-8.44706603147164,2.1694861441870983,-0.05018189864607665,3.0212894355183635,0.6375010687822714
intercanthal_width,mm,102,33.85883353001115,30.750942133924987,-3.1078913960861563,1.9850661678245638,-6.998621085022301,0.7828382928499886,-0.09178967708180032,2.463641840069612,0.7961729122830513
biocular_width,mm,102,87.4741958435706,82.21983339682997,-5.254362446740608,3.9757782066162517,-13.04688773170846,2.5381628382272456,-0.06006757073979785,3.3442296505866644,0.5238687080192143
nose_breadth,mm,102,36.334532138370925,33.11153667084689,-3.222995467524037,2.27115171609429,-7.6744528310688445,1.2284618960207712,-0.08870337053605284,2.308513673649546,0.8257567368525325
mouth_width,mm,102,49.99043575174739,46.993514040136134,-2.996921711611256,2.8293119073892132,-8.542373050094113,2.5485296268716016,-0.05994990174708569,3.2397898944097516,0.6605137570259573
philtrum_width,mm,102,14.73767210573895,13.374573500655332,-1.3630986050836225,1.450044366327029,-4.2051855630846,1.4789883529173544,-0.09249076755838682,3.2708927696200703,0.5624309040673041
bizygomatic_width,mm,102,122.47863057258293,130.42261456664176,7.943983994058862,8.111929307563711,-7.9553974487660115,23.843365436883737,0.06486016341725115,3.694938431454465,0.4357723156089095
bigonial_width,mm,102,110.3744043278497,103.81542539728771,-6.558978930561972,7.709950258870284,-21.67048143794773,8.552523576823784,-0.05942481837618405,2.817891712992176,0.7001977307931765
nose_height,mm,102,40.786432734354925,38.13568862309688,-2.6507441112580357,2.6414762658418316,-7.828037592308025,2.526549369791954,-0.06499082988018416,3.252977978656803,0.5591183754576732
face_height_sellion_menton,mm,102,111.00248429995263,101.99954842961303,-9.002935870339638,5.116044299056046,-19.03038269648949,1.0245109558102126,-0.08110571512986832,2.663508994194774,0.7337099418837953
philtrum_length,mm,102,16.126852440523308,13.841525846303037,-2.2853265942202667,1.6852727211634957,-5.588461127700718,1.0178079392601846,-0.1417094006811728,2.4556839774006134,0.7912808980158079
upper_face_height,mm,102,71.55461180738135,74.72351276782072,3.168900960439379,3.6659421189040535,-4.016345592612566,10.354147513491323,0.04428646708292931,2.584118672254632,0.752036973000294
middle_third_height,mm,102,55.46806642053378,60.88689485274917,5.41882843221538,2.891050820868767,-0.24763117668740264,11.085288041118163,0.0976927587692038,2.42042260496275,0.7878992131814129
