condition,id,unit,yaw10,pitch10,roll10,all_three_10,reaches_kleinberg_floor_8pct
ortho,interpupillary_distance,mm,0.015192246987791959,0.0,1.1214373986112693e-16,0.0100352448136206,False
ortho,intercanthal_width,mm,0.01519224698779209,0.0,1.1102230246251565e-16,0.010035244813620614,False
ortho,biocular_width,mm,0.015191753757923485,4.857368383220069e-07,0.0,0.009874691709141367,False
ortho,nose_breadth,mm,0.015192246987792025,0.0,0.0,0.010035244813620595,False
ortho,mouth_width,mm,0.015188624318298686,3.567645929416877e-06,1.3662666592043834e-16,0.009601696826937354,False
ortho,philtrum_width,mm,0.01519224698779195,0.0,1.6148698540002277e-16,0.010035244813620442,False
ortho,bizygomatic_width,mm,0.015192246987791912,0.0,0.0,0.010035244813620444,False
ortho,bigonial_width,mm,0.015192246987791983,0.0,1.2146029671112825e-16,0.0100352448136206,False
ortho,nose_height,mm,0.0005365895638912538,0.01757156011917609,1.340646671245472e-16,0.01752506114439953,False
ortho,face_height_sellion_menton,mm,4.188003675764662e-06,0.018086383282240822,0.0,0.023184319364082502,False
ortho,philtrum_length,mm,0.0024093925822559945,0.05426702407898034,2.3684757858670006e-16,0.060253717917126436,False
ortho,upper_face_height,mm,0.00013045634554999404,0.0009610718649457927,0.0,0.0015441164952853254,False
ortho,middle_third_height,mm,1.1963304597978888e-05,0.010300749025343297,2.0015288331270428e-16,0.014369105668605007,False
ortho,lower_third_height,mm,0.0004835243700150291,0.046293413137093,0.0,0.05475199262842247,False
ortho,palpebral_fissure_width_l,mm,0.044354198305233156,0.006761653780975131,0.0,0.042761640254852386,False
ortho,palpebral_fissure_height_l,mm,0.0,0.015192246987792124,1.6758083390568404e-16,0.01991242775372465,False
ortho,canthal_tilt_l,deg,0.21285887247668445,3.3086379721166264,1.7763568394002505e-15,3.5086881886403454,False
ortho,eye_aspect_ratio_l,ratio,0.04247045530837206,0.02180645308283001,1.5245024995409034e-16,0.06010392556563498,False
ortho,palpebral_fissure_width_r,mm,0.07421779546945277,0.007708865878636828,0.0,0.04451209919823792,False
ortho,palpebral_fissure_height_r,mm,0.0,0.01519224698779195,0.0,0.019912427753724513,False
ortho,canthal_tilt_r,deg,0.48299168269715853,3.279345597241414,1.7763568394002505e-15,4.321148132220867,False
ortho,eye_aspect_ratio_r,ratio,0.08016766266001799,0.022725921783431954,0.0,0.025745665040731062,True
ortho,intercanthal_biocular_ratio,ratio,5.008384834986174e-07,4.857370742898758e-07,0.0,0.00016215432848221652,False
ortho,nose_mouth_width_ratio,ratio,3.6785414779233523e-06,3.5676586574674627e-06,0.0,0.00043775114041926487,False
ortho,eye_spacing_ratio,ratio,0.0,0.0,1.1796119636642288e-16,0.0,False
ortho,facial_thirds_ratio,ratio,0.0004713331643456336,0.03773976672442083,2.095350497179873e-16,0.042722001680922904,False
ortho,lip_vermilion_ratio,ratio,0.0,0.0,1.7763568394002505e-15,3.774758283725532e-15,False
ortho,facial_width_height_ratio,ratio,0.015320704650201964,0.0009601490926666659,0.0,0.008504259886305742,False
ortho,jaw_cheekbone_ratio,ratio,0.0,0.0,1.337961080958522e-16,1.337961080958522e-16,False
ortho,ocular_height_asymmetry,deg,0.005016851068294248,0.004940638701884992,4.3298697960381105e-15,0.003431666220654328,False
ortho,mouth_corner_asymmetry,deg,0.013594882432422128,0.01338844263193717,1.1657341758564144e-14,0.009541606320365714,False
ortho,canthal_tilt_asymmetry,deg,0.695850555173843,0.029292374875212523,0.0,0.8124599435805218,False
ortho,nasofrontal_angle,deg,0.7357055090356681,0.0,0.7414035084257904,0.049990210803230184,False
ortho,nasolabial_angle,deg,0.6993501170092884,1.4210854715202004e-14,0.7001272473205375,1.0319228187643006,False
ortho,facial_convexity_angle,deg,0.10299368651351415,0.0,0.10456192350039828,0.044606219485160636,False
ortho,mentolabial_angle,deg,0.559284119999063,8.526512829121202e-14,0.559112730705607,1.1085145167541128,False
ortho,mentocervical_angle,deg,0.010099008501995854,1.4210854715202004e-14,0.009482965704378898,1.4203825427208159,False
ortho,submental_cervical_angle,deg,0.24529832132020601,1.4210854715202004e-14,0.2489481025127276,1.1853113875561974,False
ortho,gonial_angle_l,deg,5.698566082187199,0.0,12.553642692600206,8.459174704558734,False
ortho,gonial_angle_r,deg,3.245434302085897,0.0,10.378431787456094,3.5297327445448445,False
ortho,e_line_upper_lip,mm,0.010051097006478838,0.09440018767797172,0.005326294971783941,0.12866322113974282,False
ortho,e_line_lower_lip,mm,0.010051097006470134,0.09440018767797338,0.005326294971779281,0.12866322113974551,False
ortho,nasal_tip_projection_ratio,ratio,0.1094519754622282,0.036902206312287286,0.010604133498203073,0.028486502938847868,True
ortho,submental_length,mm,0.015179759767256412,0.0,1.2297665178672439e-05,0.01402691734545351,False
ortho,chin_projection,mm,0.015192246987792757,1.8949377073484417,0.0,2.1540693846545165,False
ortho,brow_apex_lateral_offset_l,ratio,0.07600112774892183,0.00671624088539839,0.0,0.07115981334343395,False
ortho,margin_reflex_distance_1_l,mm,0.0,0.015192246987792129,0.015192246987791792,0.03505004808653066,False
ortho,margin_reflex_distance_2_l,mm,0.0,0.015192246987792118,0.015192246987792453,0.0350500480865313,False
ortho,medial_canthal_angle_l,deg,0.23144305219958028,0.35560103656411,7.105427357601002e-15,0.9549743179816232,False
ortho,brow_apex_lateral_offset_r,ratio,0.08629782821586648,0.007649893872785809,0.0,0.09607527062696108,True
ortho,margin_reflex_distance_1_r,mm,0.0,0.01519224698779195,0.01519224698779195,0.035050048086530984,False
ortho,margin_reflex_distance_2_r,mm,0.0,0.01519224698779195,0.01519224698779195,0.03505004808653034,False
ortho,medial_canthal_angle_r,deg,1.3305226966544907,0.3676442110657163,7.105427357601002e-15,0.6692759414782046,False
ortho,upper_vermilion_height,mm,0.000941859250796151,0.05860429140452439,8.881784197001252e-16,0.06833755554736887,False
ortho,lower_vermilion_height,mm,0.000941859250796151,0.05860429140452439,8.881784197001252e-16,0.06833755554736531,False
ortho,cupids_bow_peak_height_l,mm,0.0,0.216338656568117,0.015192246987794533,0.2283676274010039,False
ortho,cupids_bow_peak_height_r,mm,0.0,0.216338656568117,0.015192246987794533,0.22836762740101335,False
ortho,commissure_height_l,ratio,0.015422876596835505,1.9687377018538632,0.01519224698780507,2.2698292000131293,False
ortho,commissure_height_r,ratio,nan,nan,nan,nan,False
ortho,upper_lip_projection,mm,0.014948780358906146,0.03097844495751283,0.0002547810055533599,0.05488581505347447,False
ortho,nasal_dorsal_deviation,deg,7.908829548210008,0.0,0.0,4.13415423038731,False
ortho,alar_base_intercanthal_ratio,ratio,1.2688263138573217e-16,0.0,1.2688263138573217e-16,1.2688263138573217e-16,False
ortho,nasal_tip_rotation,deg,0.39856685255061564,10.000000000000021,0.3959911315686995,10.442861459036127,False
ortho,midface_projection,mm,0.015192246987791869,1.2741415350730367,0.0,1.4697552612794382,False
ortho,chin_height,mm,8.227811774221477e-05,2.6244494760629696e-16,0.015108706577852907,0.0082640244933267,False
ortho,labiomental_sulcus_depth,mm,0.010868364004704473,0.08669443779182076,0.004487080102709164,0.12025938503445258,False
ortho,ramus_body_ratio_l,ratio,0.261575274292113,0.0,0.03857293646973107,0.36481155316950964,True
ortho,ramus_body_ratio_r,ratio,0.16119816681291171,0.0,0.09062322237306196,0.2014398967137358,True
