id,axis,apriori,apriori_source,measured_ortho,measured_persp_1.0m,measured_persp_0.5m,measured_ortho_asym,measured_3d_frame_dependence,worst_measured,worst_over_apriori,disagrees,direction
alar_base_intercanthal_ratio,pitch,0.0,cosine cancels between same-plane terms,0.0,0.0008727453588172837,0.0017546995644715229,3.1277418766961772e-06,0.0,0.0017546995644715229,inf,True,a-priori too optimistic
biocular_width,pitch,0.0,"cos(yaw), first order",4.857368383220068e-08,0.0006187545252245082,0.0012281678087867867,1.404739671812914e-06,0.0,0.0012281678087867867,inf,True,a-priori too optimistic
chin_height,yaw,0.0,"cos(pitch), first order",8.227811774221476e-06,0.0001132863950835433,0.00022656859275913812,8.227811774221476e-06,1.3122247380314848e-17,0.00022656859275913812,inf,True,a-priori too optimistic
chin_height,roll,0.0,"cos(pitch), first order",0.0015108706577852907,0.0027734011970117103,0.005551697309560509,0.0015108706577852907,0.0,0.005551697309560509,inf,True,a-priori too optimistic
cupids_bow_peak_height_l,yaw,0.0,"cos(pitch), first order",0.0,0.0037330161479370502,0.007028603725850876,0.0,0.0,0.007028603725850876,inf,True,a-priori too optimistic
cupids_bow_peak_height_l,roll,0.0,"cos(pitch), first order",0.0015192246987792164,0.0015850211035515823,0.0016432823828676645,0.0015192246987792164,0.0015192246987792164,0.0016432823828676645,inf,True,a-priori too optimistic
cupids_bow_peak_height_r,yaw,0.0,"cos(pitch), first order",0.0,0.0037330161479362045,0.007028603725850876,0.0,0.0,0.007028603725850876,inf,True,a-priori too optimistic
cupids_bow_peak_height_r,roll,0.0,"cos(pitch), first order",0.0015192246987789798,0.0015850211035520051,0.0016432823828676645,0.0015192246987789798,0.0015192246987789798,0.0016432823828676645,inf,True,a-priori too optimistic
eye_aspect_ratio_l,pitch,0.0,cosine cancels between same-plane terms,0.0016789055683947359,0.0017029092975320646,0.001725485591768785,0.0023262408289020523,8.059713391588278e-18,0.0023262408289020523,inf,True,a-priori too optimistic
eye_aspect_ratio_l,roll,0.0,cosine cancels between same-plane terms,2.2867537493113548e-17,0.00021022035892216432,0.0004235867188028153,2.2867537493113548e-17,3.223885356635311e-17,0.0004235867188028153,inf,True,a-priori too optimistic
eye_aspect_ratio_r,pitch,0.0,cosine cancels between same-plane terms,0.0016717334111258455,0.0016954534515122462,0.0017178622132817303,0.00245269997450171,7.778318712477837e-18,0.00245269997450171,inf,True,a-priori too optimistic
eye_aspect_ratio_r,roll,0.0,cosine cancels between same-plane terms,7.357685195285611e-18,0.0002095041543956724,0.000422121310762978,7.357685195285611e-18,7.778318712477837e-18,0.000422121310762978,inf,True,a-priori too optimistic
eye_spacing_ratio,pitch,0.0,cosine cancels between same-plane terms,0.0,0.0008203090659269335,0.001649212686507518,1.2902383647962755e-06,0.0,0.001649212686507518,inf,True,a-priori too optimistic
face_height_sellion_menton,yaw,0.0,"cos(pitch), first order",4.188003675764662e-07,1.294537373190072e-05,2.652305736277128e-05,4.188003675764662e-07,0.0,2.652305736277128e-05,inf,True,a-priori too optimistic
face_height_sellion_menton,roll,0.0,"cos(pitch), first order",0.0,8.986568677300965e-07,1.8167399621879096e-06,0.0,0.0,1.8167399621879096e-06,inf,True,a-priori too optimistic
facial_thirds_ratio,pitch,0.0,cosine cancels between same-plane terms,0.0036584396658075778,0.006205931200119087,0.008839736816312815,0.0036584396658075778,1.0639244625359708e-17,0.008839736816312815,inf,True,a-priori too optimistic
facial_thirds_ratio,roll,0.0,cosine cancels between same-plane terms,2.0953504971798732e-17,1.1437166897196132e-05,2.3687129815709576e-05,2.0953504971798732e-17,2.1278489250719416e-17,2.3687129815709576e-05,inf,True,a-priori too optimistic
facial_width_height_ratio,roll,0.0,"cos(yaw) on the width, 1/cos(pitch) on the height",0.0,5.045801286356015e-06,1.0263244232700338e-05,0.0,0.0,1.0263244232700338e-05,inf,True,a-priori too optimistic
intercanthal_biocular_ratio,pitch,0.0,cosine cancels between same-plane terms,4.857370742898758e-08,4.2478649900472037e-05,7.307898725836755e-05,1.4047338617629927e-06,0.0,7.307898725836755e-05,inf,True,a-priori too optimistic
