id,unit,view,value_orthographic,landmark_depth_span_mm,dev_0.3m,dev_0.4m,dev_0.5m,dev_0.7m,dev_1.0m,dev_1.5m,dev_2.0m,dev_3.0m,implied_depth_straddle_mm_mean,implied_depth_straddle_mm_spread,straddle_constant_across_distance,icao_predicts
interpupillary_distance,mm,frontal,63.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
intercanthal_width,mm,frontal,32.0,0.0,0.006711409395973256,0.005025125628140614,0.004016064257028162,0.002865329512893977,0.002004008016031955,0.001335113484646211,0.0010010010010010895,0.0006671114076051143,2.00590629067586,0.012088595976633254,True,True
biocular_width,mm,frontal,90.00144981797378,0.0,-0.02597402597402614,-0.01960784313725499,-0.015748031496062943,-0.01129943502824857,-0.007936507936507908,-0.0053050397877984915,-0.003984063745019918,-0.002659574468085044,-7.90748547842699,0.18651561204728928,True,True
nose_breadth,mm,frontal,34.0,0.0,0.0416666666666668,0.030927835051546282,0.024590163934426184,0.017441860465116282,0.012145748987854307,0.008064516129032237,0.006036217303822866,0.0040160642570282665,12.217333609193279,0.45180722891524105,True,True
mouth_width,mm,frontal,52.00615348206402,0.0,0.05633802816901403,0.04166666666666684,0.03305785123966924,0.023391812865497116,0.01626016260162624,0.010781671159029753,0.008064516129032348,0.005361930294906178,16.389845278250956,0.8156175659856757,True,True
philtrum_width,mm,frontal,11.0,0.0,0.08695652173913034,0.06382978723404262,0.05042016806722687,0.035502958579881554,0.024590163934426167,0.016260162601626084,0.012145748987854173,0.00806451612903219,24.89331008181961,1.8934081346425273,True,True
bizygomatic_width,mm,frontal,141.0,0.0,-0.06832298136645963,-0.0521327014218009,-0.042145593869731775,-0.03047091412742383,-0.02152641878669275,-0.014454664914585956,-0.010880316518298658,-0.007279947054930567,-21.32016277033519,1.3429467548538128,True,True
bigonial_width,mm,frontal,117.0,0.0,-0.08536585365853656,-0.0654205607476636,-0.05303030303030302,-0.038461538461538464,-0.027237354085603106,-0.018324607329842924,-0.013806706114398404,-0.009247027741083155,-26.911871170908576,2.1313271256884967,True,True
nose_height,mm,frontal,53.0,10.0,0.07142857142857141,0.05263157894736831,0.04166666666666671,0.029411764705882283,0.020408163265306173,0.013513513513513539,0.01010101010101012,0.006711409395973239,20.614681695060767,1.2943432406517061,True,True
face_height_sellion_menton,mm,frontal,120.0,2.0,0.02739726027397277,0.0204081632653061,0.01626016260162615,0.011560693641618632,0.008064516129032267,0.00536193029490614,0.004016064257028162,0.002673796791443905,8.095742587254989,0.19778770786011535,True,True
philtrum_length,mm,frontal,15.0,6.0,0.17778936392075054,0.12918660287081424,0.1014416315049227,0.07095479141211408,0.04890416125382302,0.03221606952950206,0.024019321891663024,0.015918722891457075,49.80296225890818,5.580640501853935,False,True
upper_face_height,mm,frontal,86.0,8.0,0.0883894292411431,0.06483070077371794,0.051187871814321655,0.03602579900437741,0.02494341827990982,0.016489310941164265,0.012315286103476842,0.00817601689334011,25.26213898383567,1.988778092322601,True,True
middle_third_height,mm,frontal,71.0,2.0,0.06950211909756417,0.05123438342926119,0.04057088033039175,0.028646434411193713,0.019881289482604113,0.013166756309825394,0.009842602486254608,0.006540233935991454,20.077458010228874,1.2299339212948865,True,True
lower_third_height,mm,frontal,67.0,12.0,-0.007433478400560373,-0.005082001378713258,-0.0038375197184806705,-0.0025603028719032536,-0.0016998614563785443,-0.001086337027275938,-0.0007974003658232369,-0.0005201355673628809,-1.8072987965316996,0.6696368180794692,False,True
palpebral_fissure_width_l,mm,frontal,29.110775288757075,10.0,-0.04366710931473488,-0.03294346508584927,-0.026448469208666142,-0.018968912563210424,-0.013319069877079006,-0.008900682523712029,-0.006683532830414514,-0.004461050349082333,-13.275037824757952,0.28301825282653326,True,True
palpebral_fissure_height_l,mm,frontal,10.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
canthal_tilt_l,deg,frontal,4.9999999999999964,10.0,0.22783222963646388,0.16979870043247125,0.13532786906787475,0.09624886755409623,0.06715852136682354,0.04466114007979627,0.033454306147143065,0.02227523955590982,,,,
