id,unit,view,lossless_mean,lossless_sd,lossless_noise,q95_mean,q95_sd,q95_noise,q85_mean,q85_sd,q85_noise,q75_mean,q75_sd,q75_noise,jpeg_only_mean,jpeg_only_sd,jpeg_only_noise
interpupillary_distance,mm,frontal,63.361402789519346,0.0083394348377087,0.0001316169540218597,63.35858494421528,0.008727017319381402,0.00013774009200276797,63.35843101129756,0.009264724511386135,0.0001462271770860949,63.357922042033294,0.01073791219449609,0.00016948018256299945,63.36038272079284,0.009691736515573606,0.00015296208923297884
intercanthal_width,mm,frontal,31.999604217246706,0.006441937340682615,0.00020131303177839394,31.999837052853874,0.009267019572498151,0.00028959583629103764,32.000076622666114,0.008295909803524338,0.0002592465606050526,31.999503452684326,0.010805164731576557,0.0003376666374699683,32.00062109849215,0.008710040761995743,0.0002721834909137484
biocular_width,mm,frontal,90.0010596046021,0.007733863380036936,8.593080363735488e-05,90.00145206278494,0.0075600707592700395,8.399943096469311e-05,90.00313622969064,0.008489210883322378,9.432127855697898e-05,90.00520588630134,0.009805757220260542,0.0001089465561875123,90.00305204488228,0.00755157285938598,8.390351980086407e-05
nose_breadth,mm,frontal,33.99981016425273,0.007621000332510187,0.0002241483201139422,34.000572460836146,0.008257687373599611,0.00024286906884027614,33.9984405948629,0.0081105302644445,0.00023855594911226566,33.99820900167544,0.008292680102701688,0.00024391520454189285,33.99885618715737,0.00791260506478846,0.00023273150782576459
mouth_width,mm,frontal,52.006765048541965,0.007246240870926802,0.00013933265920622676,52.00638090693952,0.008126149578953244,0.00015625293352933398,52.00600175010589,0.008809543757747985,0.00016939475178420245,52.00807736341037,0.010729209453984787,0.00020629890582214038,52.00736787266613,0.008453315714428852,0.00016254073336542993
philtrum_width,mm,frontal,10.999308496629641,0.006955303749909312,0.0006323400922922132,10.999691432226733,0.007446063062817232,0.0006769338129796865,11.000853484997734,0.008794248089669054,0.000799415072808859,11.001959822117607,0.010158372256240335,0.000923323882334002,11.0026518953297,0.008306496974179251,0.0007549540831792664
bizygomatic_width,mm,frontal,141.00031899436902,0.007431998268167126,5.270908832811881e-05,140.99936212852742,0.008079729956446763,5.730330857157862e-05,140.99968384310796,0.008534327479742025,6.052728096353942e-05,140.9972115940799,0.009996435743780688,7.089810947864456e-05,141.00002450823075,0.008437584573402436,5.9841014941879675e-05
bigonial_width,mm,frontal,117.00007723685613,0.007165725474339328,6.124547644385705e-05,116.99995746130512,0.008154459209024719,6.969625789583391e-05,116.9983187482084,0.00894150570495164,7.642422387448675e-05,116.99934397394314,0.009726602455260148,8.313382045480832e-05,116.99883594508766,0.008832107659986274,7.548885071071599e-05
nose_height,mm,frontal,53.000718167141116,0.0074882256417240535,0.00014128536179659794,53.00115170066626,0.0071992085763540065,0.0001358311724434378,53.00437733359896,0.009031820709323533,0.0001703976381512617,53.00613302709294,0.010350774507880387,0.00019527503548673908,53.003420109595574,0.008260201582736956,0.0001558428034579141
face_height_sellion_menton,mm,frontal,120.20279721989942,0.056565412552046786,0.00047058316329000083,120.20446698443462,0.053955839951077285,0.0004488671786054679,120.20668312706253,0.05435266275540629,0.00045216007414457715,120.1976477974777,0.056716929001046114,0.00047186388452966294,120.19474619050952,0.00866304859512108,7.207510202975168e-05
philtrum_length,mm,frontal,15.000144666774581,0.007373452850756765,0.0004915587825688783,14.999100182078623,0.008259139447984763,0.0005506423283880077,14.995564165126853,0.009038964115979384,0.0006027758620112524,14.993172384031496,0.009687623729193273,0.0006461356863682227,14.995803097399232,0.007886764549153786,0.0005259314554831419
upper_face_height,mm,frontal,86.00061581883237,0.007286900632142974,8.473079596887365e-05,86.00072994417093,0.007878127104971306,9.16053516067311e-05,86.00035849843258,0.008641791018798391,0.00010048552319646312,86.00012180700101,0.009403396402616183,0.00010934166376786086,86.0013682182448,0.008860423925279658,0.0001030265460753444
middle_third_height,mm,frontal,71.00047291715009,0.0076438686615519,0.00010765940489539375,71.00163180612509,0.008569491458862197,0.0001206942888617235,71.00479713013652,0.00842502696963249,0.00011865433477953929,71.0069528520838,0.009900872882286279,0.0001394352592894813,71.00556813308049,0.008409169607933807,0.00011842972078151846
lower_third_height,mm,frontal,67.20207972361631,0.05702610926193076,0.0008485765544230697,67.20331600553162,0.052794801895492696,0.0007855981673753579,67.2023067525717,0.05502306125796807,0.0008187674488697881,67.1915160763787,0.055509016038557964,0.0008261313225238009,67.19132706385162,0.008542999932965813,0.00012714438464427765
palpebral_fissure_width_l,mm,frontal,29.110699947185285,0.007354239847924582,0.0002526301277972419,29.110750946675125,0.007777478422263632,0.0002671685947404917,29.11078597455592,0.008257522647707741,0.00028365852625639073,29.11176311439216,0.010151057472512024,0.00034869263783936135,29.110019419352835,0.00786475684741142,0.00027017353489578214
palpebral_fissure_height_l,mm,frontal,10.601207715504197,0.00863100206841071,0.0008141527173161532,10.599541037594355,0.00927701208450475,0.000875227715200227,10.597935258977245,0.009001231086634415,0.0008493381839646263,10.598211011480489,0.011690830594667495,0.001103094718722191,10.596217282505354,0.008187992934968307,0.0007727279194705558
