id,claim,unit,n,not_evaluable,camera_roll_sd_deg,corr_shipped_with_camera_roll,corr_horizon_with_camera_roll,between_source_r_shipped,between_source_r_horizon,loa_over_between_subject_sd_shipped,loa_over_between_subject_sd_horizon,template_sd_shipped,template_sd_horizon
canthal_tilt_l,exact,deg,102,False,1.8009197782043884,0.13709085456732484,0.6434259436170214,0.657073105629458,0.8244062926539946,2.9951693752337283,2.22907588957589,2.5566148815941627,3.3173478911398697
canthal_tilt_r,exact,deg,102,False,1.8009197782043884,0.19089202199490857,-0.4407772259661491,0.7596615168637211,0.804948272201672,2.550675468772887,2.3601802931464175,2.673204918862944,2.889635877364174
canthal_tilt_asymmetry,exact,deg,102,False,1.8009197782043884,-0.18713591656505935,-0.02026795484976578,0.14162546034454893,0.7356449667305774,3.9843402366065916,2.7614906499256424,1.2430982003966813,2.5092563815447324
ocular_height_asymmetry,exact,deg,102,False,1.8009197782043884,-0.12360758558351104,-0.08578756548357697,0.07839027485818167,0.9203816055184922,4.013020369519188,1.5421403579652815,0.3128225201444097,1.175849869512346
mouth_corner_asymmetry,exact,deg,102,False,1.8009197782043884,-0.13006947287411488,0.26509024353288474,0.7553575597783871,0.8121604013441316,2.6355842585968996,2.3160499348031243,0.9557802475165773,1.1844619200120234
brow_apex_lateral_offset_l,exact,ratio,102,False,1.8009197782043884,0.07538227407865158,-0.21544661817990007,0.208340451294163,0.28583994051987394,3.9371026592208493,3.8837437932401495,0.10043768712061447,0.10147624461604003
brow_apex_lateral_offset_r,exact,ratio,102,False,1.8009197782043884,0.10378725636492593,0.34655828168980324,0.3078568856537293,0.42486301313114155,3.7531422657358617,3.5582281052458544,0.11140324319954162,0.11619954071364938
nasal_dorsal_deviation,exact,deg,102,False,1.8009197782043884,-0.0011073582660609583,-0.250643118286214,0.4998083225587788,0.6620431718172111,3.500687811696037,3.2127493940563565,1.228666842225544,1.4583906452167805
margin_reflex_distance_1_l,cos(roll),mm,102,False,1.8009197782043884,0.1063392889331304,0.106031908169834,0.597345373942525,0.5992793031159609,3.162780003075385,3.1596610493609076,0.829496434142499,0.8299898198567253
margin_reflex_distance_1_r,cos(roll),mm,102,False,1.8009197782043884,0.05914973893288496,0.05446769117993665,0.5832640186486238,0.5830362340541703,3.2013532843059864,3.2007184181059816,0.8242622350685185,0.8237906925557791
margin_reflex_distance_2_l,cos(roll),mm,102,False,1.8009197782043884,-0.0022436176451894846,-0.012622036194416996,0.5643858886016606,0.5668972584124051,3.2495001329071997,3.242138181320666,0.6817234331955584,0.6819590524024302
margin_reflex_distance_2_r,cos(roll),mm,102,False,1.8009197782043884,0.05173167874313744,0.04931497394842294,0.4506895254978314,0.4581014899854164,3.5404661631637855,3.521009923418851,0.7218070637900273,0.7252044384361929
cupids_bow_peak_height_l,cos(roll),mm,102,False,1.8009197782043884,-0.03594375180650509,0.3298151741823093,0.3523123593541815,0.47606215288216897,3.670030051976328,3.465296190146243,0.6384003523502124,0.6767618922093771
cupids_bow_peak_height_r,cos(roll),mm,102,False,1.8009197782043884,0.23682316688899668,-0.1410896091096623,0.5695490868904632,0.4790046840185149,3.339345999369523,3.444823875201171,0.6219654682882401,0.5975161850742298
commissure_height_l,cos(roll),ratio,102,False,1.8009197782043884,0.0484329791299169,0.41735898472673005,0.9229151613251497,0.9357673043704416,1.5121755427584387,1.384060785943159,0.038452387311968414,0.04178112270590618
commissure_height_r,cos(roll),ratio,102,False,1.8009197782043884,0.200038267094617,-0.18293419041752745,0.9212534193520012,0.9202218352753191,1.5439063493901461,1.5601939022583722,0.04092077964932249,0.040158824055072734
