id,claim,claim_reason,unit,expected_roll_secant_10deg,measured_3d,measured_ortho,measured_persp_1.0m,measured_persp_0.5m,measured_ortho_asym,measured_ortho_absolute,measured_persp_0.5m_absolute,claim_holds,zero_valued_at_zero_pose,horizon_control_ortho,horizon_control_ortho_absolute,horizon_control_deviation_at_plus10,control_has_power,control_over_measurement,control_discriminates
commissure_height_l,cos(roll),frame-y offset over an invariant width,ratio,0.001519224698779198,0.0015192246987805183,0.0015192246987805183,0.0020629409292522737,0.0032835749334842596,0.0015192246987805183,2.3369922165913935e-05,3.562323720129427e-05,True,False,0.5643565774175257,0.008681381561697848,5.628373527187452,True,371.4766998394212,True
commissure_height_r,cos(roll),frame-y offset over an invariant width,ratio,0.001519224698779198,nan,nan,0.0022489251044922947,0.002248925104492064,nan,0.0,5.8993159367228164e-05,True,True,nan,0.008681381561697848,nan,True,inf,True
cupids_bow_peak_height_l,cos(roll),difference of two frame-y offsets from a rotating line,mm,0.001519224698779198,0.0015192246987792164,0.0015192246987792164,0.0015850211035515823,0.0016432823828676645,0.0015192246987792164,0.0022788370481688245,0.003084468359502779,True,False,0.06367099847787425,0.09550649771681137,-0.6519022317665323,True,41.91019177679083,True
cupids_bow_peak_height_r,cos(roll),difference of two frame-y offsets from a rotating line,mm,0.001519224698779198,0.0015192246987789798,0.0015192246987789798,0.0015850211035520051,0.0016432823828676645,0.0015192246987789798,0.0022788370481684694,0.003084468359502779,True,False,0.06367099847787425,0.09550649771681137,0.6215177377909527,True,41.91019177679736,True
margin_reflex_distance_1_l,cos(roll),"line rotates, but the sign axis is the frame's y",mm,0.001519224698779198,0.0015192246987792129,0.0015192246987792129,0.0015192246987792129,0.0015192246987792129,0.0015192246987792129,0.008051890903529823,0.008051890903529823,True,False,0.0015192246987792129,0.008051890903529823,-0.015192246987792129,True,1.0,False
margin_reflex_distance_1_r,cos(roll),"line rotates, but the sign axis is the frame's y",mm,0.001519224698779198,0.0015192246987791869,0.0015192246987791869,0.0015192246987791869,0.0015192246987791869,0.0015192246987791869,0.008355735843285528,0.008355735843285528,True,False,0.001519224698779195,0.008355735843285573,-0.01519224698779195,True,1.0000000000000053,False
margin_reflex_distance_2_l,cos(roll),"line rotates, but the sign axis is the frame's -y",mm,0.001519224698779198,0.0015192246987791782,0.0015192246987791782,0.0015192246987791782,0.0015192246987791782,0.0015192246987791782,0.008051890903529646,0.008051890903529646,True,False,0.0015192246987791782,0.008051890903529646,-0.015192246987792118,True,1.0,False
margin_reflex_distance_2_r,cos(roll),"line rotates, but the sign axis is the frame's -y",mm,0.001519224698779198,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.008355735843285616,0.008355735843285616,True,False,0.001519224698779195,0.008355735843285573,-0.01519224698779195,True,0.9999999999999947,False
brow_apex_lateral_offset_l,exact,projection onto an axis that rotates with it,ratio,0.0,8.543296195083572e-18,1.615972649513357e-17,0.00029166734003594033,0.000609993108332404,1.615972649513357e-17,1.1102230246251566e-17,0.00040646709733382913,True,False,0.00995249662345528,0.006837671978663551,-0.11471721322234488,True,inf,True
brow_apex_lateral_offset_r,exact,projection onto an axis that rotates with it,ratio,0.0,8.55615058372562e-18,8.093453714814174e-18,0.00029238512725187195,0.0006114650357523123,8.093453714814174e-18,5.551115123125783e-18,0.0004067386146541285,True,False,0.009508954393435779,0.006521974721607049,0.07989729694656561,True,inf,True
canthal_tilt_asymmetry,exact,difference of two exactly invariant tilts,deg,0.0,3.552713678800501e-16,3.552713678800501e-16,0.002340500908437715,0.004767199789352361,3.552713678800501e-16,3.552713678800501e-16,0.004767199789352361,True,False,1.9000000000000004,1.9000000000000004,20.000000000000004,True,inf,True
canthal_tilt_l,exact,tilt and reference axis both rotate with the head,deg,0.0,3.9968028886505636e-16,3.9968028886505636e-16,0.0010657558912575472,0.0021719627291743927,3.9968028886505636e-16,3.9968028886505636e-16,0.0021719627291743927,True,False,1.0000000000000004,1.0000000000000004,-10.0,True,inf,True
canthal_tilt_r,exact,tilt and reference axis both rotate with the head,deg,0.0,1.3322676295501878e-16,1.3322676295501878e-16,0.0012747450171801677,0.0025952370601779683,1.3322676295501878e-16,1.3322676295501878e-16,0.0025952370601779683,True,False,1.0000000000000004,1.0000000000000004,10.000000000000004,True,inf,True
mouth_corner_asymmetry,exact,inclination of a landmark line against a landmark axis,deg,0.0,1.021405182655144e-15,1.021405182655144e-15,1.404432126150823e-15,2.275957200481571e-15,1.021405182655144e-15,1.021405182655144e-15,2.275957200481571e-15,True,False,0.9118596003417867,0.9118596003417867,9.99999999999999,True,892750120937713.1,True
nasal_dorsal_deviation,exact,angle between two landmark-derived directions,deg,0.0,0.0,0.0,0.02824457312933575,0.05708926426855143,0.0,0.0,0.05708926426855143,True,True,1.0,1.0,10.0,True,inf,True
ocular_height_asymmetry,exact,inclination of a landmark line against a landmark axis,deg,0.0,2.1649348980190552e-16,2.1649348980190552e-16,2.0539125955565397e-16,1.8318679906315082e-16,2.1649348980190552e-16,2.1649348980190552e-16,1.8318679906315082e-16,True,False,0.9674785275745166,0.9674785275745166,9.999999999999996,True,inf,True
