stratum_kind,a,b,n_a,n_b,median_a,median_b,mannwhitney_u,p,separates_at_5pct
ethnicity,black,east_asian,13,9,0.05958311761283765,0.05681336842474609,60.0,0.946758392919716,False
ethnicity,black,west_asian,13,10,0.05958311761283765,0.05428007317802233,59.0,0.733031673648372,False
ethnicity,black,white,13,69,0.05958311761283765,0.05383793293363994,520.0,0.3673799282275818,False
ethnicity,east_asian,west_asian,9,10,0.05681336842474609,0.05428007317802233,44.0,0.967435545139537,False
ethnicity,east_asian,white,9,69,0.05681336842474609,0.05383793293363994,364.0,0.40715558707375876,False
ethnicity,west_asian,white,10,69,0.05428007317802233,0.05383793293363994,394.0,0.47455127794380014,False
gender,female,male,49,53,0.054983970152098875,0.05467388686403541,1267.0,0.8355150313048594,False
