face_id,n_conditions,six_roll_intercept,six_roll_slope,six_roll_residual_mae,six_yaw_range_over_sweep,six_pitch_range_over_sweep,mediapipe_roll_slope
001,7,-1.822833506649345,-0.9765109869439172,0.056776574738001476,3.762304263256212,2.544772457612899,1.0029467599732536
002,7,0.879642888634291,-0.9852922318471107,0.14437808722945997,2.240463837870147,0.785995384600883,1.0024493149348668
003,7,-0.14756174517775844,-0.9454458107899679,0.07531453251614381,2.219630747045403,1.0011386061326157,0.9960044554301671
004,7,1.7046684897356925,-0.9968734929808054,0.1750267599288586,1.7485617246954681,2.7695348800126833,1.0061678154127938
005,7,2.5803793314651493,-1.024686204707997,0.1900878541232827,2.301478931582076,0.7220767134397583,1.0029528089932034
006,7,1.5170043922724108,-0.9973992498413585,0.06607505836723185,1.7018294903529614,0.48574042876968093,0.993087579522814
007,7,1.0748771759524938,-1.0029389250793588,0.08513495824944381,4.616333187828035,0.6823939546922189,0.9884100845881871
008,7,4.743188881031572,-1.0349391118231497,0.20429170077103334,2.0290496328209766,1.5007167847173308,0.9991985989468438
009,7,1.151600401226045,-0.9681572996860005,0.1518046264014101,4.446802236377912,1.082754030628979,1.0039738927568707
010,7,-0.8660227520003231,-0.995791305916861,0.2115393046682851,1.7760464059155994,1.9774033708553374,0.995160961151123
011,7,-1.4105091194587125,-0.9519726069209977,0.17641618941837237,2.053033255122095,1.0329295081810281,0.9961932403700694
012,7,0.5945933365236704,-1.00511277609472,0.1397128001330799,0.6428800296832256,1.8003043563614285,0.9995650836399622
013,7,0.13979289096178088,-0.9754421904048574,0.13688943057976077,1.0025928361162333,3.106672270392572,0.9883865833282467
014,7,2.196800283267169,-0.9774700034380274,0.23893474040645593,4.281397146073299,0.7832054124074914,0.9979461005755833
016,7,1.0782588361516745,-0.9760709032195737,0.08739186967941767,2.5200573113795013,2.2792185446642104,0.9930094582693917
017,7,1.6169230009511582,-1.0096346784411943,0.08692750393561635,0.9844892462983426,1.4102312923666482,1.0012563398906165
018,7,-1.8724317180972079,-1.0085013091717534,0.20752824558627953,0.995386749753085,1.777111488539298,1.0072921225002833
019,7,3.00225922953442,-0.9917941313287776,0.16946403040661548,1.8192032229905895,1.4931032582268826,1.010317577634539
020,7,0.7411475925897035,-1.0054312336647722,0.16144977262293322,0.7435013093187957,2.1282017814547594,1.0052379505974907
021,7,-0.6839955197079014,-1.0024453249933534,0.0954093726741527,2.631879580985577,0.6376709432240335,1.0042171818869454
022,7,0.32969815234588584,-1.0053962076009344,0.2535378924419952,1.8770979874688802,1.4043782471347708,0.9971836328506468
024,7,2.441196084436157,-0.9391040807689337,0.07639998265069232,2.1446218763845875,1.5999369684385492,1.003297357899802
025,7,-1.2928126718172706,-0.9973055969707479,0.14115192926757897,3.538596144587842,1.134940090982461,0.9916804228510174
026,7,-2.7055716068015205,-1.0112077152203263,0.11275801831808106,1.317570891693419,1.0667008449236273,1.0056851318904332
027,7,0.5063953172147068,-0.9585573224463512,0.19111344100386735,0.8741455659052295,0.9619092011912351,0.992070075443813
029,7,-1.99600761696973,-1.016514775254618,0.17029009779124982,1.375522939047288,0.9743310741356676,1.0025852254458836
030,7,-3.9695509552026995,-0.9887608839578657,0.5507722628609529,4.897275943863584,6.769902718747044,0.9941962757280893
031,7,0.8917242202385534,-0.9633774936653348,0.09425556946504618,2.108730592997919,1.2012736075411556,0.9934220143726895
032,7,-2.251843390406127,-0.9811997776447009,0.15807200885501066,1.5172154401628273,3.312779631900054,0.9928119642393929
033,7,-0.8384753946469812,-0.9861178888976763,0.27862703441170805,2.196546928796262,1.515631783430523,1.001365671839033
034,7,-1.1279596833885814,-1.0388352861323285,0.13466985541185536,0.7996901873611296,2.491105953756816,1.0010210480008808
036,7,1.225031902206475,-1.0168897907549466,0.16755150992119905,1.504810842794519,1.6106450508706898,0.9986987454550608
037,7,0.011373053946397274,-1.0138475970558987,0.1097279168416965,1.5383630131740826,1.3487166877108097,1.002191584450858
038,7,-1.5870155083204165,-1.0174002010342085,0.09526631549454434,2.5180090016804386,1.8115100287467751,0.9966130273682731
039,7,2.24554150417165,-1.0150536742988927,0.27039495762652577,0.7561276610515049,0.879318980634265,0.9910258735929216
041,7,-1.1324801099263244,-1.0009065108160737,0.25541708458267076,4.719135965851484,1.1517927289858214,1.0058314561843873
042,7,5.279874882784604,-0.9661714355250325,0.14220723542073052,1.5389238490781776,0.888323944724692,1.0122980622308595
043,7,-0.4339343434266552,-1.0063561967871633,0.1982794681360162,1.026748667229843,2.0738174674055907,0.991920600618635
044,7,-0.6612615018597794,-1.0000963070685052,0.1611919765416459,2.334681148148169,1.914221986598604,1.0082531656537737
045,7,0.7116675813744497,-0.9818187330463175,0.1279492367637703,0.33369444142967364,2.332873682658628,0.9946974686213902
061,7,0.8133734584599186,-0.9721337169023098,0.10662337806452671,3.003186633534681,2.3354280133256538,1.0095795341900418
062,7,1.899379528153427,-0.9948741929382282,0.3135559401150324,2.957922329574772,1.1407758472980023,0.9881211689540319
063,7,-0.05422263828788841,-0.99621819883837,0.1921491533785356,2.01288097422997,2.9276574945581806,1.0048768895012992
064,7,-1.2147359866250391,-0.9698110287468739,0.17892518187339082,2.087317576423959,1.5445448279608334,0.9945778863770622
066,7,1.110574626041037,-0.9657722753822178,0.13063223787106823,1.0968019688435497,1.7358800911191643,1.0012348549706596
