id,stratum,recomputed_n,recomputed_mean,recomputed_sd,vendored_n,vendored_mean,vendored_sd,matches,rsd
nose_height,male|pooled,2543,51.8777,4.1205,2543,51.8777,4.1205,True,0.07942719125944288
face_height_sellion_menton,both|pooled,3997,119.9297,8.1512,3997,119.9297,8.1512,True,0.06796648369836662
face_height_sellion_menton,female|Black,589,116.5382,6.3699,589,116.5382,6.3699,True,0.054659330588596705
face_height_sellion_menton,female|Hispanic,126,114.4921,6.3381,126,114.4921,6.3381,True,0.055358404641018905
face_height_sellion_menton,female|Other,220,110.8227,6.1221,220,110.8227,6.1221,True,0.05524229241843052
face_height_sellion_menton,female|White,519,112.9827,5.7822,519,112.9827,5.7822,True,0.0511777466815716
face_height_sellion_menton,female|pooled,1454,114.227,6.4748,1454,114.227,6.4748,True,0.05668362121039684
face_height_sellion_menton,male|Black,634,125.3991,7.3377,634,125.3991,7.3377,True,0.058514774029478675
face_height_sellion_menton,male|Hispanic,412,122.6044,6.8502,412,122.6044,6.8502,True,0.055872383046611705
face_height_sellion_menton,male|Other,130,120.7615,7.2964,130,120.7615,7.2964,True,0.0604199185998849
face_height_sellion_menton,male|White,1367,122.5735,6.9249,1367,122.5735,6.9249,True,0.05649589837933974
face_height_sellion_menton,male|pooled,2543,123.1903,7.1585,2543,123.1903,7.1585,True,0.05810928295490798
jaw_cheekbone_ratio,both|pooled,3995,0.8314,0.0555,3995,0.8314,0.0555,True,0.06675487130141929
jaw_cheekbone_ratio,female|Black,588,0.827,0.055,588,0.827,0.055,True,0.06650544135429262
jaw_cheekbone_ratio,female|Hispanic,126,0.8246,0.0565,126,0.8246,0.0565,True,0.0685180693669658
jaw_cheekbone_ratio,female|Other,220,0.815,0.045,220,0.815,0.045,True,0.05521472392638037
jaw_cheekbone_ratio,female|White,519,0.8108,0.0463,519,0.8108,0.0463,True,0.05710409472126295
jaw_cheekbone_ratio,female|pooled,1453,0.8192,0.0513,1453,0.8192,0.0513,True,0.0626220703125
jaw_cheekbone_ratio,male|Black,634,0.8346,0.0628,634,0.8346,0.0628,True,0.0752456266474958
jaw_cheekbone_ratio,male|Hispanic,412,0.8469,0.0579,412,0.8469,0.0579,True,0.0683669854764435
jaw_cheekbone_ratio,male|Other,130,0.829,0.0488,130,0.829,0.0488,True,0.05886610373944512
jaw_cheekbone_ratio,male|White,1366,0.8385,0.0537,1366,0.8385,0.0537,True,0.06404293381037567
jaw_cheekbone_ratio,male|pooled,2542,0.8384,0.0567,2542,0.8384,0.0567,True,0.06762881679389313
nose_mouth_width_ratio,both|pooled,3997,0.7318,0.081,3997,0.7318,0.081,True,0.11068597977589506
nose_mouth_width_ratio,female|Black,589,0.7752,0.0718,589,0.7752,0.0718,True,0.09262125902992777
nose_mouth_width_ratio,female|Hispanic,126,0.7104,0.0654,126,0.7104,0.0654,True,0.0920608108108108
nose_mouth_width_ratio,female|Other,220,0.7504,0.0719,220,0.7504,0.0719,True,0.09581556503198295
nose_mouth_width_ratio,female|White,519,0.6731,0.062,519,0.6731,0.062,True,0.09211112761848164
nose_mouth_width_ratio,female|pooled,1454,0.7294,0.0818,1454,0.7294,0.0818,True,0.11214697011242115
nose_mouth_width_ratio,male|Black,634,0.8008,0.0729,634,0.8008,0.0729,True,0.09103396603396605
nose_mouth_width_ratio,male|Hispanic,412,0.7338,0.0689,412,0.7338,0.0689,True,0.09389479422185883
nose_mouth_width_ratio,male|Other,130,0.7599,0.0819,130,0.7599,0.0819,True,0.10777733912356889
nose_mouth_width_ratio,male|White,1367,0.6992,0.0648,1367,0.6992,0.0648,True,0.09267734553775743
nose_mouth_width_ratio,male|pooled,2543,0.7332,0.0805,2543,0.7332,0.0805,True,0.10979268957992364
