face_id,six_yaw,six_pitch,six_roll,mediapipe_yaw,mediapipe_pitch,mediapipe_roll
001,3.0031752676730155,-3.5662910675683626,-1.8025266224409158,-4.297854423522949,3.1282780170440674,2.4694859981536865
002,3.303782778659266,-0.010404335782219849,0.7756825460061043,-3.863015651702881,2.2218799591064453,-0.4150291979312897
003,1.2892987376867528,-2.6112385225301735,-0.13682676506427213,-2.717618465423584,3.3967058658599854,0.16475465893745422
004,-3.277502131723761,1.9598771054450845,1.5384085433218118,2.8514628410339355,-2.353379011154175,-1.4328117370605469
005,0.13484094092394383,1.394148224583678,2.2381046478421425,-0.7858071327209473,3.550407886505127,-2.654865264892578
006,-1.3256828352302934,4.046730415768468,1.3268633907396479,0.8995960354804993,-4.673696041107178,-1.1566591262817383
007,0.7925677341297278,-6.112232554746392,1.1875402315543757,-1.2674872875213623,6.4250922203063965,-0.5231542587280273
008,-0.5341142830709444,-0.5380930817058884,4.517747944895364,1.6321228742599487,2.707686424255371,-4.445687294006348
009,1.3208320135374092,-7.06318527873528,1.2293410959965596,-1.2448339462280273,8.244382858276367,-0.5064327716827393
010,2.3837554436849024,5.657956673048843,-1.3416473351981404,-3.3143723011016846,-6.2325286865234375,0.8598895072937012
011,2.666648005285079,2.55088547692006,-1.3025739573906132,-2.8054864406585693,-2.2328450679779053,1.9097955226898193
012,-4.110646472247801,-1.3228013491741943,0.5704582532531112,4.021780014038086,1.2437334060668945,-0.04742506891489029
013,-0.27227903459935854,0.09614809269859348,0.34742709704493957,0.2389460653066635,-2.4826557636260986,0.19665096700191498
014,0.5408956470605621,-1.7555962859320522,1.665602353758199,-1.0318747758865356,2.9129040241241455,-1.7559388875961304
016,2.3356867067404683,3.9879656025837935,0.9022367198988904,-3.107189893722534,-3.5687904357910156,-0.5174904465675354
017,-1.336719994042211,0.6023314910975344,1.8813798757482436,0.42066434025764465,0.9738045334815979,-1.6408779621124268
018,-0.7618492785027128,3.5340252539292227,-2.262745622490021,0.33856841921806335,-3.4731462001800537,1.54810631275177
019,-0.2048343049596412,2.7829951551543686,3.109454932149118,-0.5881937146186829,-0.3563160300254822,-2.7580227851867676
020,2.416888691348634,2.6639981053305255,0.7813359682873179,-3.4427719116210938,-5.089217185974121,-0.33873552083969116
021,-0.5882387831273882,2.827798421345302,-0.6153087437988528,-0.3700052797794342,-2.7724103927612305,0.31808486580848694
022,-2.8826710939201265,8.275710769160385,0.05200322272610566,-0.5416671633720398,-6.545582294464111,-0.33921411633491516
024,-2.0857873739260384,-0.4093670677395969,2.302931467358614,2.126068592071533,-0.22404323518276215,-2.18156361579895
025,0.40226009582563993,-5.5481985212945,-1.146184183181889,-1.2029656171798706,2.5040764808654785,0.9348850846290588
026,0.9608002559464607,-1.5866390703722104,-2.5291005885623044,-0.2956475615501404,0.35683953762054443,2.999417543411255
