distance_m,measured_magnification,icao_closed_form,exact_pinhole,measured_minus_icao,icao_relative_error,measured_matches_exact_to
0.3,0.19999999999999996,0.16666666666666669,0.20000000000000004,0.03333333333333327,-0.16666666666666638,8.326672684688674e-17
0.4,0.1428571428571428,0.125,0.14285714285714285,0.017857142857142794,-0.12499999999999961,5.551115123125783e-17
0.5,0.11111111111111116,0.1,0.11111111111111112,0.011111111111111155,-0.10000000000000035,4.163336342344337e-17
0.7,0.07692307692307687,0.07142857142857144,0.07692307692307693,0.005494505494505433,-0.07142857142857068,5.551115123125783e-17
1.0,0.05263157894736836,0.05,0.052631578947368425,0.00263157894736836,-0.04999999999999889,6.245004513516506e-17
1.5,0.034482758620689724,0.03333333333333333,0.034482758620689655,0.0011494252873563912,-0.033333333333335276,6.938893903907228e-17
2.0,0.02564102564102555,0.025,0.025641025641025644,0.0006410256410255485,-0.024999999999996483,9.367506770274758e-17
3.0,0.016949152542372836,0.016666666666666666,0.01694915254237288,0.00028248587570616976,-0.01666666666666406,4.5102810375396984e-17
