id,unit,evidence,spec_measured_within_person_rsd,spec_between_subject_rsd,between_person_mean,between_person_sd,between_person_rsd,expression_within_person,expression_within_person_sd_units,expression_n_subjects,expression_discriminability,expression_discriminability_ci_low,expression_discriminability_ci_high,expression_informative,expression_reportable_cv_under_10pct,frontal_within_person,frontal_within_person_sd_units,frontal_n_subjects,frontal_discriminability,frontal_discriminability_ci_low,frontal_discriminability_ci_high,frontal_informative,frontal_reportable_cv_under_10pct,three_quarter_within_person,three_quarter_within_person_sd_units,three_quarter_n_subjects,three_quarter_discriminability,three_quarter_discriminability_ci_low,three_quarter_discriminability_ci_high,three_quarter_informative,three_quarter_reportable_cv_under_10pct,all_usable_within_person,all_usable_within_person_sd_units,all_usable_n_subjects,all_usable_discriminability,all_usable_discriminability_ci_low,all_usable_discriminability_ci_high,all_usable_informative,all_usable_reportable_cv_under_10pct
interpupillary_distance,mm,validated_2d,,0.0617224687123274,59.40946008929404,2.1661404657887617,0.03646120436935453,0.014018318490070618,0.8368624589941188,102,2.600968468164034,2.3455734767787315,2.902031481188295,True,True,0.014018318490070618,0.8368624589941188,102,2.600968468164034,2.3360245818130996,2.8910326881939046,True,True,0.07378039180589968,4.664099214191695,102,0.494185561731308,0.4499358188211503,0.5551631090948492,False,True,0.06998585825067472,4.391482164930718,102,0.520979599032109,0.48348063970220556,0.5593933331070721,False,True
intercanthal_width,mm,validated_2d,,0.07232704402515723,30.750942133924987,1.977978820382822,0.06432254373763334,0.025159478497243398,0.7979095697451457,102,2.556592885845422,2.2695448194235985,2.8925558278605217,True,True,0.025159478497243398,0.7979095697451457,102,2.556592885845422,2.2865300072807133,2.9566285493328164,True,True,0.07757696443149913,2.715445119245765,102,0.8291448912573847,0.7385262525995434,0.9552958149952087,False,True,0.09404562820645715,3.208308139977721,102,0.683950386257476,0.631144462123539,0.7541600296576582,False,True
biocular_width,mm,validated_2d,,0.042312478787193124,82.21983339682997,2.220228995268441,0.02700356961990686,0.009994600335547017,0.822414282698463,102,2.701815851892083,2.3633480185455253,3.1854537129533766,True,True,0.009994600335547017,0.822414282698463,102,2.701815851892083,2.3846016563010743,3.2046001830166313,True,True,0.07722262473489773,6.870391220330803,102,0.34968469036903455,0.31097078071528106,0.39225044107864127,False,True,0.07686444808022502,6.77267893886763,102,0.3513141679196431,0.3241032484306943,0.3805452229429238,False,True
nose_breadth,mm,validated_2d,,0.13322350238491343,33.11153667084689,2.531405257371067,0.07645085404930323,0.05964629067676545,2.042395005328544,102,1.2817369392441333,1.1650297161948149,1.4436611609380845,True,True,0.05964629067676545,2.042395005328544,102,1.2817369392441333,1.1660079772112808,1.4326483566423691,True,True,0.07854361674025562,3.0595567074995054,102,0.973355407125277,0.870436085928924,1.112718116119995,False,True,0.09663982083338893,3.65416435273644,102,0.7910906020935995,0.7467109770681232,0.8407544109280842,False,True
mouth_width,mm,validated_2d,,0.08875567064350719,46.993514040136134,3.4437906343713567,0.07328225404531549,0.11913374489877887,6.215067916144586,102,0.615125916738194,0.5563683142227345,0.6855243765489881,False,False,0.11913374489877887,6.215067916144586,102,0.615125916738194,0.557125249931499,0.681936758467524,False,False,0.11045558134503605,5.858956855765085,102,0.6634545140494057,0.6056419215035794,0.7308866483894252,False,False,0.10811478500668063,5.726422348377738,102,0.6778189869293754,0.636508205709718,0.7225487249870067,False,False
philtrum_width,mm,conventional,,0.06,13.374573500655332,1.1722383173086914,0.0876467812039953,0.13266719077870098,1.9840465851972684,102,0.6606515197129397,0.6013771435234666,0.7490313336947653,False,False,0.13266719077870098,1.9840465851972684,102,0.6606515197129397,0.6025946743517857,0.7259959137107178,False,False,0.1173539763019602,1.7511095453709182,102,0.746858214488394,0.684471115431164,0.8262414449070343,False,False,0.11460834041338663,1.7212224935701192,102,0.7647504613351671,0.7105510354050014,0.8317013129484463,False,False
bizygomatic_width,mm,requires_3d,,0.05441406991873145,130.42261456664176,6.159445586124871,0.047226821871275956,0.0143300563096196,1.8962358485219122,102,3.295648031722886,2.876649676463885,3.8770112160115744,True,True,0.0143300563096196,1.8962358485219122,102,3.295648031722886,2.919274136484884,3.81348991365654,True,True,0.07624610151900021,11.543117071519907,102,0.6193998241274963,0.539483141073546,0.7073224153583557,False,True,0.09751948340577246,14.149602588920645,102,0.48428088646417566,0.4475104845274702,0.5227836639796203,False,True
bigonial_width,mm,requires_3d,,0.09450495538619305,103.81542539728771,6.61113294100412,0.06368160526919965,0.016442888284009822,1.7538717807896678,102,3.8728965476903445,3.425585940124077,4.538505734320497,True,True,0.016442888284009822,1.7538717807896678,102,3.8728965476903445,3.4025822017022933,4.5335648027168975,True,True,0.08162389906454053,9.719213677113313,102,0.7801833286455259,0.6874865716463178,0.892035901823247,False,True,0.09872136740458848,11.362037853754341,102,0.6450640519211426,0.6014370647248861,0.692663791160086,False,True
nose_height,mm,validated_2d,,0.08913537829061696,38.13568862309688,1.892274184799312,0.04961951004742723,0.022245027794740295,0.8387279665634463,102,2.230588808666693,1.9581813892607731,2.601643404762401,True,True,0.022245027794740295,0.8387279665634463,102,2.230588808666693,1.9374900329798836,2.621621339925646,True,True,0.08779297746751669,4.908301399223786,102,0.565187689024289,0.5017932333402266,0.6451383384082072,False,True,0.1988662736905218,9.691881934423906,102,0.24951194150017483,0.2393457538752863,0.2600065163054754,False,False
face_height_sellion_menton,mm,validated_2d,,0.06796648369836662,101.99954842961303,5.541494349207335,0.0543286164941344,0.01991793793115718,2.0692010516826214,102,2.72762254214827,2.43931434245749,3.147929208933024,True,True,0.01991793793115718,2.0692010516826214,102,2.72762254214827,2.4329755030941596,3.0769631018075145,True,True,0.08464489714813106,12.43225813650532,102,0.6418416032694532,0.5730808599770078,0.7260623121153573,False,True,0.1913734787543277,24.92491795214727,102,0.28388790781128975,0.2735679981745673,0.2960880571417833,False,False
