id,distance_m,value,deviation
interpupillary_distance,0.3,63.36,0.0
interpupillary_distance,0.4,63.36,0.0
interpupillary_distance,0.5,63.36,0.0
interpupillary_distance,0.7,63.36,0.0
interpupillary_distance,1.0,63.36,0.0
interpupillary_distance,1.5,63.36,0.0
interpupillary_distance,2.0,63.36,0.0
interpupillary_distance,3.0,63.36,0.0
intercanthal_width,0.3,32.214765100671144,0.006711409395973256
intercanthal_width,0.4,32.1608040201005,0.005025125628140614
intercanthal_width,0.5,32.1285140562249,0.004016064257028162
intercanthal_width,0.7,32.09169054441261,0.002865329512893977
intercanthal_width,1.0,32.06412825651302,0.002004008016031955
intercanthal_width,1.5,32.04272363150868,0.001335113484646211
intercanthal_width,2.0,32.032032032032035,0.0010010010010010895
intercanthal_width,3.0,32.021347565043364,0.0006671114076051143
biocular_width,0.3,87.66374982270172,-0.02597402597402614
biocular_width,0.4,88.23671550781742,-0.01960784313725499
biocular_width,0.5,88.584104151549,-0.015748031496062943
biocular_width,0.7,88.98448428330741,-0.01129943502824857
biocular_width,1.0,89.28715259719621,-0.007936507936507908
biocular_width,1.5,89.52398854572988,-0.0053050397877984915
biocular_width,2.0,89.64287830475476,-0.003984063745019918
biocular_width,3.0,89.76208425994726,-0.002659574468085044
nose_breadth,0.3,35.41666666666667,0.0416666666666668
nose_breadth,0.4,35.051546391752574,0.030927835051546282
nose_breadth,0.5,34.83606557377049,0.024590163934426184
nose_breadth,0.7,34.593023255813954,0.017441860465116282
nose_breadth,1.0,34.412955465587046,0.012145748987854307
nose_breadth,1.5,34.274193548387096,0.008064516129032237
nose_breadth,2.0,34.20523138832998,0.006036217303822866
nose_breadth,3.0,34.13654618473896,0.0040160642570282665
mouth_width,0.3,54.93607762189861,0.05633802816901403
mouth_width,0.4,54.1730765438167,0.04166666666666684
mouth_width,0.5,53.7253651674215,0.03305785123966924
mouth_width,0.7,53.222671692170785,0.023391812865497116
mouth_width,1.0,52.85178199396751,0.01626016260162624
mouth_width,1.5,52.566866727153666,0.010781671159029753
mouth_width,2.0,52.42555794562906,0.008064516129032348
mouth_width,3.0,52.28500685194104,0.005361930294906178
philtrum_width,0.3,11.956521739130434,0.08695652173913034
philtrum_width,0.4,11.702127659574469,0.06382978723404262
philtrum_width,0.5,11.554621848739496,0.05042016806722687
philtrum_width,0.7,11.390532544378697,0.035502958579881554
philtrum_width,1.0,11.270491803278688,0.024590163934426167
philtrum_width,1.5,11.178861788617887,0.016260162601626084
philtrum_width,2.0,11.133603238866396,0.012145748987854173
philtrum_width,3.0,11.088709677419354,0.00806451612903219
bizygomatic_width,0.3,131.3664596273292,-0.06832298136645963
