stratum_kind,group,n_subjects,landmark_median_err_over_ipd,landmark_err_ci_low,landmark_err_ci_high,id,unit,n,mean,between_spread,between_spread_ci_low,between_spread_ci_high,within_person_cv,within_person_cv_ci_low,within_person_cv_ci_high,discriminability,mean_percentile_vs_pooled_niosh
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,interpupillary_distance,mm,13,65.7102877968687,0.04494605938580136,0.028360611465049746,0.054657326172668996,0.08627295452948994,0.07542332170114671,0.09713675215499047,0.5209750799764002,0.6017116362930651
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,intercanthal_width,mm,13,35.46802840607252,0.09159645029166112,0.057862312330154216,0.11316737406871649,0.10535988514759376,0.09172697282446068,0.11957897775893556,0.8693674083200443,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,biocular_width,mm,13,90.21876330023119,0.042581417626853454,0.027951093858036236,0.052329383627285064,0.0969224611248917,0.08447577143744188,0.11026600903790439,0.4393348779286999,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,nose_breadth,mm,13,42.40508268473914,0.08252165822130571,0.044178964481821445,0.1063265801537077,0.11567763124234676,0.09229053957821874,0.13704866927236564,0.7133761068155114,0.8129941653174637
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,mouth_width,mm,13,53.737799862834464,0.0715065281623156,0.03852298296544935,0.09448006438879246,0.11405255542984041,0.09748438162313698,0.12900873162972687,0.6269612100563844,0.7070919668824932
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,philtrum_width,mm,13,16.62765026800944,0.12197109774857988,0.07283286315369686,0.15825751904599064,0.10852696280103614,0.09006311855397849,0.12666632441486347,1.1238782934724805,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,bizygomatic_width,mm,13,126.53565038515613,0.04044324489994332,0.02127148179815693,0.05205392317717295,0.141681198378748,0.11975988828245691,0.16590993357208025,0.2854524479093462,0.059688714004391304
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,bigonial_width,mm,13,111.10565555905593,0.05181014576821489,0.033651784731000625,0.06247465312537888,0.14177361285560486,0.12135784683170929,0.1647845883716258,0.3654427980260548,0.3068813103398439
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,nose_height,mm,13,40.690415507039845,0.07667214962083056,0.041822045624520916,0.09840042151421849,0.23868412111178963,0.21574117810774002,0.26300132596625897,0.321228531096631,0.03903555319398222
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,face_height_sellion_menton,mm,13,116.04101995986349,0.037207862926789084,0.0226441072815107,0.04667660327229135,0.22306849605516865,0.20626543192472066,0.23980270135417933,0.16680016938647824,0.3361864904817894
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,philtrum_length,mm,13,15.31830821006299,0.17603573036166165,0.08708309334462251,0.23649226667053144,0.2701865255620145,0.2466203526842267,0.2960372430757976,0.651534083705655,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,upper_face_height,mm,13,73.76174437740433,0.07802190856402676,0.052352812521959696,0.09586069862789551,0.23559291960517537,0.21799676098110696,0.25457736659774954,0.33117255261652956,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,middle_third_height,mm,13,58.461017186556575,0.08865239966977534,0.06349413917916226,0.1010659051324493,0.2325987105289519,0.21065439857844165,0.2547401525918661,0.38113882690136686,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,lower_third_height,mm,13,75.38124508207031,0.05807407539994662,0.035472447280417756,0.07120915258480133,0.22394790101580403,0.20783287122605945,0.23901485115174978,0.25931957895800206,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,palpebral_fissure_width_l,mm,13,27.426377646945657,0.048789553147818396,0.02881406635288511,0.061901961116149845,0.21230079912399505,0.18934122373048834,0.23569573108377526,0.229813327830776,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,palpebral_fissure_height_l,mm,13,10.091930833155605,0.09152399545455674,0.059848718357010035,0.10836708131191689,0.21348314864571588,0.1941351806902568,0.2322414493796722,0.42871765774096104,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,canthal_tilt_l,deg,13,4.34998101050814,1.8158594888263082,1.1301055175471229,2.2873703986868414,2.707225879211628,2.2790381416252266,3.110437856275536,0.670745467812647,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,eye_aspect_ratio_l,ratio,13,0.3681012091270898,0.08196101280764924,0.060818609830915374,0.0910813083289143,0.3022536120909074,0.2645382334728806,0.33314854425851664,0.27116636337499983,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,palpebral_fissure_width_r,mm,13,27.51965990209002,0.040382277363615986,0.025067141338751205,0.049711600673216526,0.2814063573461831,0.25242280607864537,0.3116018652022433,0.1435016527147542,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,palpebral_fissure_height_r,mm,13,9.918323408881243,0.060107359731063466,0.03752380880320467,0.07450083138073543,0.22645724848175963,0.21282351444840644,0.2421871356053875,0.2654247551537522,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,canthal_tilt_r,deg,13,4.4862079543651605,2.1762253807500445,1.416498144900005,2.6845375534574925,1.7528072484878146,1.3848924844230115,2.1200713690653243,1.2415657127316893,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,eye_aspect_ratio_r,ratio,13,0.360467972593421,0.04846419264118609,0.03182975770391127,0.058072938050272006,0.2577148460380878,0.2306714032047528,0.28184471254088406,0.18805355370960483,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,intercanthal_biocular_ratio,ratio,13,0.39262688285637193,0.062375789213312036,0.04701793366075813,0.07043246266357653,0.024625048423409412,0.02079432147118792,0.028165663464941534,2.5330219921117183,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,nose_mouth_width_ratio,ratio,13,0.7907591792033392,0.07805884100799458,0.046277557049917616,0.10020948984652016,0.06078908476743702,0.04743424864914419,0.07410084435726491,1.284093045760223,0.7237715996345213
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,eye_spacing_ratio,ratio,13,0.8404496065654693,0.1115738385503374,0.060047531026425835,0.1473499513527592,0.04022683139176279,0.033643377173404064,0.04697709833229655,2.773617376515125,
ethnicity,black,13,0.05958311761283765,0.03895344176052934,0.06470582088820795,facial_thirds_ratio,ratio,13,0.7785654599876927,0.11156974258230147,0.065020395113574,0.14101430781979685,0.04738940046466836,0.0315036994486378,0.06190925410172751,2.354318507689993,
