id,unit,evidence,n,frll_mean,frll_sd,frll_rsd,frll_rsd_ci_low,frll_rsd_ci_high,niosh_mean,niosh_sd,niosh_rsd,spec_between_subject_rsd,frll_minus_niosh_pct
interpupillary_distance,mm,validated_2d,102,62.54825003293633,3.513914307861489,0.05617925850860976,0.048475400079004305,0.0628342116204765,64.3704,3.9731,0.0617224687123274,0.0617224687123274,-0.028307264939532346
intercanthal_width,mm,validated_2d,102,33.85883353001115,3.1585189256456285,0.09328493029288917,0.0801433900222676,0.10601219432240654,,,,0.07232704402515723,
biocular_width,mm,validated_2d,102,87.4741958435706,4.660281200246426,0.05327606793414105,0.04539867950839936,0.06072878869451549,,,,0.042312478787193124,
nose_breadth,mm,validated_2d,102,36.334532138370925,3.8565570690404156,0.10614027048301292,0.09205009339720219,0.11879155877943362,37.0873,4.9409,0.13322350238491343,0.13322350238491343,-0.020297186951573027
mouth_width,mm,validated_2d,102,49.99043575174739,3.4233401048947765,0.0684799012734174,0.059520820788557506,0.07624577210275764,50.7438,4.5038,0.08875567064350719,0.08875567064350719,-0.014846429480106123
philtrum_width,mm,conventional,102,14.73767210573895,1.7378050325575782,0.11791584315957641,0.10124016681095518,0.13306191727312333,,,,0.06,
bizygomatic_width,mm,requires_3d,102,122.47863057258293,8.606033219647607,0.07026558983730247,0.05905485930058251,0.08051961038208691,141.1124,7.6785,0.05441406991873145,0.05441406991873145,-0.13204912840697966
bigonial_width,mm,requires_3d,102,110.3744043278497,10.725396180209934,0.0971728567463145,0.08281648764520859,0.11082841270966093,117.4076,11.0956,0.09450495538619305,0.09450495538619305,-0.05990409200213869
nose_height,mm,validated_2d,102,40.786432734354925,3.183110070230332,0.07804335551878648,0.06714964666565101,0.08761309159018743,50.3515,4.4881,0.08913537829061696,0.08913537829061696,-0.18996588514036475
face_height_sellion_menton,mm,validated_2d,102,111.00248429995263,7.529501006382993,0.06783182425031731,0.05849656769417086,0.07674122212965599,119.9297,8.1512,0.06796648369836662,0.06796648369836662,-0.07443707188500738
philtrum_length,mm,conventional,102,16.126852440523308,2.6901951259843133,0.16681464259103854,0.14086980608507446,0.19068672948750656,,,,0.06,
upper_face_height,mm,conventional,102,71.55461180738135,5.56108094430729,0.0777179947433329,0.0670689509053291,0.08707076154763814,,,,0.06,
middle_third_height,mm,conventional,102,55.46806642053378,4.6822068156895185,0.08441265610723014,0.07391556632763081,0.09401459710309651,,,,0.08019216555801922,
lower_third_height,mm,conventional,102,70.23812910938678,6.836960565702128,0.09733973060493181,0.08333751933617334,0.11015115492953235,,,,0.07665505226480836,
palpebral_fissure_width_l,mm,conventional,102,26.903959534108342,1.6648969858308627,0.061882972419733874,0.05476491776055964,0.06803758801958223,,,,0.06427779830070188,
palpebral_fissure_height_l,mm,conventional,102,9.964026722595111,1.180558496991124,0.11848206853098943,0.09849519099364347,0.13749170129732088,,,,0.14690721649484534,
canthal_tilt_l,deg,pose_critical,102,3.597841565215126,2.5566148815941627,0.7105968495978768,0.5690325453300763,0.8626964865074821,,,,2.1,
eye_aspect_ratio_l,ratio,pose_invariant_ratio,102,0.3703523632513314,0.037144415210114703,0.1002947973222665,0.08121345641305837,0.11880343699577076,,,,,
palpebral_fissure_width_r,mm,conventional,102,26.87513571513428,1.5794293333910883,0.058769166791654906,0.04983710437763193,0.0669034308444718,,,,0.06041968162083936,
palpebral_fissure_height_r,mm,conventional,102,9.909418715577878,1.1457981746049253,0.11562718333858464,0.09765402641204167,0.13195802114555943,,,,0.09090909090909091,
canthal_tilt_r,deg,pose_critical,102,3.7483211298549253,2.673204918862944,0.7131739320762006,0.5793973152501485,0.8735397441522774,,,,2.1,
eye_aspect_ratio_r,ratio,pose_invariant_ratio,102,0.3691717306671593,0.04056188567984126,0.1098726752629154,0.09096816569251213,0.12773877848745324,,,,,
intercanthal_biocular_ratio,ratio,pose_invariant_ratio,102,0.3867467693952713,0.02433898239072392,0.06293260685481891,0.05524382205211201,0.06958409973145238,,,,0.054285054285054285,
nose_mouth_width_ratio,ratio,pose_invariant_ratio,102,0.726572953451916,0.05430160409742,0.074736616384405,0.06430564793400065,0.08389418921941086,0.7318,0.081,0.11068597977589506,0.11068597977589506,-0.00714272553714681
eye_spacing_ratio,ratio,pose_invariant_ratio,102,0.9372183454674592,0.08872457305331712,0.09466798583532175,0.0821280806017377,0.1054094453132843,,,,,
facial_thirds_ratio,ratio,conventional,102,0.7970863472705962,0.10178540425965406,0.12769683561660575,0.10873142659878678,0.1447091464658722,,,,,
lip_vermilion_ratio,ratio,conventional,102,0.6624350184110432,0.14692122637701782,0.22178964320067496,0.19179853017950066,0.24852566644414387,,,,,
facial_width_height_ratio,ratio,requires_3d,102,1.7190597469254745,0.14967872541485625,0.0870701124161365,0.0759571113717202,0.09674635507525982,,,,0.07960199004975126,
jaw_cheekbone_ratio,ratio,requires_3d,102,0.9026228282536636,0.0795231627936712,0.08810231727412378,0.07517759049984976,0.09991314285470089,0.8314,0.0555,0.06675487130141929,0.06675487130141929,0.08566613934768288
ocular_height_asymmetry,deg,pose_invariant_ratio,102,0.4169107306956892,0.3128225201444097,0.7503345371379866,0.6557872857845738,0.8431150928233174,,,,,
mouth_corner_asymmetry,deg,pose_invariant_ratio,102,1.3593122942229927,0.9557802475165773,0.7031351453073692,0.6140880612363655,0.7850767344699883,,,,,
canthal_tilt_asymmetry,deg,pose_invariant_ratio,102,1.7722143042184297,1.2430982003966813,0.7014378551384644,0.6071999904234023,0.7875511502740159,,,,,
brow_apex_lateral_offset_l,ratio,conventional,102,-0.5214115643967205,0.10043768712061447,0.19262650462465689,0.16380128622263423,0.2199026839690627,,,,,
margin_reflex_distance_1_l,mm,conventional,102,3.9886874709136664,0.829496434142499,0.20796225329544077,0.17583808463818398,0.2398509224221432,,,,0.06,
margin_reflex_distance_2_l,mm,conventional,102,5.956788461168349,0.6817234331955584,0.11444479481513213,0.09158617740220856,0.13693369476695044,,,,0.06,
medial_canthal_angle_l,deg,conventional,102,36.938599806954336,3.891317108088149,0.10534554986990981,0.08845724927087163,0.12072996402323623,,,,,
brow_apex_lateral_offset_r,ratio,conventional,102,-0.4979788861798547,0.11140324319954162,0.22371077628240282,0.18650245702644042,0.2597418140267927,,,,,
margin_reflex_distance_1_r,mm,conventional,102,3.9104580532317557,0.8242622350685185,0.21078406259525426,0.18074305771108748,0.2407339830302905,,,,0.06,
margin_reflex_distance_2_r,mm,conventional,102,5.981606480792258,0.7218070637900273,0.12067110501298386,0.10094256846941967,0.1407942028458594,,,,0.06,
medial_canthal_angle_r,deg,conventional,102,36.63591910422135,4.363085197608157,0.11909310054965766,0.10044505322465246,0.1392728070684492,,,,,
upper_vermilion_height,mm,conventional,102,6.851387728568032,1.953477423307563,0.2851214236733684,0.2386230415390659,0.3264662467327613,,,,0.06,
lower_vermilion_height,mm,conventional,102,10.487132656288445,2.423828472375065,0.23112404046130325,0.195151444167595,0.26388265563150204,,,,0.06,
cupids_bow_peak_height_l,mm,conventional,102,1.50954052189606,0.6384003523502124,0.4229103777541188,0.3675112287716489,0.4783348364859008,,,,0.06,
cupids_bow_peak_height_r,mm,conventional,102,1.5372555579695921,0.6219654682882401,0.40459471105099293,0.34254454822884384,0.4630200449647442,,,,0.06,
commissure_height_l,ratio,conventional,102,-0.021969865388992985,0.038452387311968414,1.7502331776339994,1.204393653539184,2.802523802347546,,,,,
