face_id,yaw,yaw_mirrored,pitch,pitch_mirrored,roll,roll_mirrored,yaw_antisymmetry_error,roll_antisymmetry_error,pitch_symmetry_error
001,3.0031752676730155,-3.730762876555916,-3.5662910675683626,-3.3511125745128694,-1.8025266224409158,2.2222878507150967,-0.3637938044414504,0.20988061413709047,-0.1075892465277466
002,3.303782778659266,-3.8532042627121497,-0.010404335782219849,0.06458524159522243,0.7756825460061043,-0.5168966034729588,-0.27471074202644186,0.12939297126657273,-0.03749478868872114
003,1.2892987376867528,-1.5680971344880357,-2.6112385225301735,-2.8513583051136147,-0.13682676506427213,-0.1082422032742506,-0.1393991984006414,-0.12253448416926137,0.12005989129172057
004,-3.277502131723761,1.437233804920059,1.9598771054450845,2.762990598292459,1.5384085433218118,-1.6928932283606313,-0.920134163401851,-0.07724234251940976,-0.4015567464236872
005,0.13484094092394383,-0.8924312362933967,1.394148224583678,1.3165489513192823,2.2381046478421425,-2.564950970855232,-0.37879514768472644,-0.16342316150654468,0.038799636632197876
006,-1.3256828352302934,0.35486970872357915,4.046730415768468,3.774144823069252,1.3268633907396479,-1.2424592213495096,-0.4854065632533571,0.04220208469506914,0.1362927963496079
007,0.7925677341297278,-0.8051080148067241,-6.112232554746392,-5.86706248760196,1.1875402315543757,-0.4196537061556063,-0.0062701403384981536,0.3839432626993847,-0.12258503357221562
008,-0.5341142830709444,0.7371285827406152,-0.5380930817058884,-0.05141725052524609,4.517747944895364,-4.748461062887816,0.10150714983483539,-0.11535655899622599,-0.24333791559032117
009,1.3208320135374092,-2.1632472686426834,-7.06318527873528,-6.991447374995813,1.2293410959965596,-1.362753580228832,-0.4212076275526371,-0.06670624211613618,-0.03586895186973349
010,2.3837554436849024,-2.6958773729513252,5.657956673048843,6.169571992828648,-1.3416473351981404,0.9583178023482785,-0.1560609646332114,-0.19166476642493097,-0.2558076598899026
011,2.666648005285079,-3.063682205982866,2.55088547692006,3.5139752336206502,-1.3025739573906132,1.8746348504994443,-0.19851710034889347,0.28603044655441556,-0.48154487835029514
012,-4.110646472247801,2.8600469460681057,-1.3228013491741943,-2.417437027472939,0.5704582532531112,0.04878388910003552,-0.6252997630898476,0.30962107117657334,0.5473178391493724
013,-0.27227903459935854,0.07273012878865023,0.09614809269859348,-1.4743300564062793,0.34742709704493957,0.2803468487108923,-0.09977445290535415,0.31388697287791595,0.7852390745524365
014,0.5408956470605621,-0.8000034088974917,-1.7555962859320522,-1.8156901045188227,1.665602353758199,-1.5837593985851097,-0.12955388091846476,0.04092147758654463,0.03004690929338527
016,2.3356867067404683,-2.856698018940684,3.9879656025837935,4.2448046210383685,0.9022367198988904,-0.4820338772061857,-0.2605056561001078,0.21010142134635237,-0.1284195092272875
017,-1.336719994042211,0.5276075140303024,0.6023314910975344,-0.03575852158467617,1.8813798757482436,-1.6932498923013528,-0.4045562400059543,0.0940649917234454,0.3190450063411053
018,-0.7618492785027128,0.3835215518789893,3.5340252539292227,4.0258300369082285,-2.262745622490021,1.4551453356881827,-0.18916386331186175,-0.4038001434009192,-0.24590239148950288
019,-0.2048343049596412,-0.585530186234655,2.7829951551543686,2.7083507924796497,3.109454932149118,-2.6896834585911815,-0.3951822455971481,0.20988573677896816,0.03732218133735943
020,2.416888691348634,-3.0093386596253056,2.6639981053305255,1.7996498321398708,0.7813359682873179,0.6816478632471008,-0.29622498413833576,0.7314919157672093,0.43217413659532733
