id,axis,pipeline_noise,slope_ortho,slope_persp1m,crossover_deg_ortho,crossover_deg_persp1m
interpupillary_distance,yaw,0.0001462271770860949,0.001519224698779196,0.0015195283454346473,0.09625118470203829,0.0962319508717476
interpupillary_distance,pitch,0.0001462271770860949,0.0,0.0005403254004053545,,0.27062799005265087
interpupillary_distance,roll,0.0001462271770860949,1.1214373986112694e-17,1.1214373986112694e-17,13039263472680.252,13039263472680.252
intercanthal_width,yaw,0.0002592465606050526,0.001519224698779209,0.001530810771118986,0.17064398756377067,0.169352453938869
intercanthal_width,pitch,0.0002592465606050526,0.0,0.0005761748891259381,,0.44994421919069
intercanthal_width,roll,0.0002592465606050526,1.1102230246251566e-17,0.0,23350854274759.95,
biocular_width,yaw,9.432127855697898e-05,0.0015191753757923484,0.001480723820587275,0.062087156005793155,0.06369944026399865
biocular_width,pitch,9.432127855697898e-05,4.857368383220068e-08,0.0006187545252245082,1941.818513967662,0.1524373151416639
biocular_width,roll,9.432127855697898e-05,1.5789584216635607e-17,1.5915900890368692e-17,5973639157489.901,5926229322906.648
nose_breadth,yaw,0.00023855594911226566,0.0015192246987792025,0.001572706860278355,0.1570247964662246,0.15168494214493564
nose_breadth,pitch,0.00023855594911226566,0.0,0.00024392933683462076,,0.9779715396594624
nose_breadth,roll,0.00023855594911226566,0.0,2.0647535968558203e-17,,11553724835522.047
mouth_width,yaw,0.00016939475178420245,0.0015188624318298685,0.0015851850946144732,0.11152738275323724,0.10686118129656039
mouth_width,pitch,0.00016939475178420245,3.567645929416877e-07,0.0006579405230563284,474.80819323314853,0.25746210462507113
mouth_width,roll,0.00016939475178420245,1.3662666592043833e-17,6.7220319632855644e-18,12398366793408.098,25199932506927.035
philtrum_width,yaw,0.000799415072808859,0.001519224698779195,0.0016262815060443712,0.5261993656706909,0.49156008344046676
philtrum_width,pitch,0.000799415072808859,0.0,0.0005579682633819394,,1.432724986836115
philtrum_width,roll,0.000799415072808859,1.6148698540002276e-17,1.5761129775042224e-17,49503374580224.62,50720670676459.64
bizygomatic_width,yaw,6.052728096353942e-05,0.0015192246987791912,0.0014106652383916664,0.039840901093944524,0.04290690612930112
bizygomatic_width,pitch,6.052728096353942e-05,0.0,0.0002910026823360526,,0.2079956118536459
bizygomatic_width,roll,6.052728096353942e-05,0.0,2.060070002686021e-17,,2938117679720.6387
bigonial_width,yaw,7.642422387448675e-05,0.0015192246987791984,0.001376763996047056,0.050304753428442074,0.05551003955210539
bigonial_width,pitch,7.642422387448675e-05,0.0,0.0010124726661272336,,0.07548275270167423
bigonial_width,roll,7.642422387448675e-05,1.2146029671112825e-17,1.2486118501903983e-17,6292115690796.326,6120735107778.528
nose_height,yaw,0.0001703976381512617,5.365895638912537e-05,2.2661700666983162e-05,3.1755675029452273,7.51919022562687
nose_height,pitch,0.0001703976381512617,0.003276380710696801,0.0029890253018620755,0.05200788711609237,0.05700776037095068
nose_height,roll,0.0001703976381512617,1.340646671245472e-17,1.009997223495552e-05,12710107875996.951,16.871099661197448
face_height_sellion_menton,yaw,0.00045216007414457715,4.188003675764662e-07,1.294537373190072e-05,1079.655389896524,34.92831365929118
face_height_sellion_menton,pitch,0.00045216007414457715,0.0015192246987791986,0.0017648346971165009,0.297625541835858,0.25620534029807157
face_height_sellion_menton,roll,0.00045216007414457715,0.0,8.986568677300965e-07,,503.1509693868821
philtrum_length,yaw,0.0006027758620112524,0.00024093925822559945,0.000166033018056688,2.50177520446607,3.630457779219847
philtrum_length,pitch,0.0006027758620112524,0.006945927106677227,0.005441066401535567,0.08678119605254633,0.11078266970628002
philtrum_length,roll,0.0006027758620112524,2.3684757858670005e-17,2.101717445873902e-05,25449948258204.43,28.680156944722697
upper_face_height,yaw,0.00010048552319646312,1.3045634554999405e-05,2.545770307483126e-05,7.702616746837709,3.9471559119490265
upper_face_height,pitch,0.00010048552319646312,0.001615331885273768,0.001615194280256754,0.062207354483956555,0.062212654183303434
upper_face_height,roll,0.00010048552319646312,0.0,5.045546698114916e-06,,19.915685892671622
middle_third_height,yaw,0.00011865433477953929,1.1963304597978889e-06,3.0089209796088846e-05,99.18190564134349,3.9434181084729785
middle_third_height,pitch,0.00011865433477953929,0.0015192246987791932,0.001604711248025515,0.07810189952472904,0.07394123704531588
middle_third_height,roll,0.00011865433477953929,2.001528833127043e-17,1.529591597490249e-06,5928185136067.333,77.57255922053122
lower_third_height,yaw,0.0008187674488697881,4.835243700150291e-05,5.31565929791951e-05,16.933323316141003,15.402933163723352
lower_third_height,pitch,0.0008187674488697881,0.003110116614930096,0.0056086299620386375,0.26325940478865,0.14598350299654653
lower_third_height,roll,0.0008187674488697881,0.0,9.908708575239798e-06,,82.63109593471654
palpebral_fissure_width_l,yaw,0.00028365852625639073,0.005941596381067294,0.0070231622004314626,0.047741130171726154,0.04038900400719271
palpebral_fissure_width_l,pitch,0.00028365852625639073,0.0005111494064428098,0.0011595216237002873,0.5549424936838463,0.24463409776798667
palpebral_fissure_width_l,roll,0.00028365852625639073,6.1020595356191035e-18,0.00021021258819734078,46485702835347.914,1.3493888671885876
palpebral_fissure_height_l,yaw,0.0008493381839646263,0.0,0.0005501218172786211,,1.5439092893392024
palpebral_fissure_height_l,pitch,0.0008493381839646263,0.0015192246987792125,0.0015188773183162179,0.5590602790009406,0.5591881409528041
palpebral_fissure_height_l,roll,0.0008493381839646263,1.6758083390568403e-17,1.6758083390568403e-17,50682298456793.77,50682298456793.77
