view,id,tolerance_deg,n,frac_within_tolerance,frac_within_tolerance_pose_gated
smiling_front,intercanthal_biocular_ratio,12.0,102,1.0,0.8627450980392157
smiling_front,nose_mouth_width_ratio,12.0,102,1.0,0.8627450980392157
smiling_front,eye_spacing_ratio,12.0,102,1.0,0.8627450980392157
smiling_front,facial_thirds_ratio,10.0,102,0.9803921568627451,0.7058823529411765
smiling_front,lip_vermilion_ratio,10.0,102,0.9803921568627451,0.7058823529411765
smiling_front,facial_width_height_ratio,5.0,102,0.7058823529411765,0.0
smiling_front,jaw_cheekbone_ratio,8.0,102,0.9117647058823529,0.5
smiling_front,ocular_height_asymmetry,10.0,102,0.9803921568627451,0.7058823529411765
smiling_front,mouth_corner_asymmetry,10.0,102,0.9803921568627451,0.7058823529411765
smiling_front,canthal_tilt_asymmetry,10.0,102,0.9803921568627451,0.7058823529411765
smiling_front,brow_apex_lateral_offset_l,8.0,102,0.9117647058823529,0.5
smiling_front,margin_reflex_distance_1_l,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,margin_reflex_distance_2_l,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,medial_canthal_angle_l,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,brow_apex_lateral_offset_r,8.0,102,0.9117647058823529,0.5
smiling_front,margin_reflex_distance_1_r,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,margin_reflex_distance_2_r,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,medial_canthal_angle_r,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,upper_vermilion_height,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,lower_vermilion_height,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,cupids_bow_peak_height_l,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,cupids_bow_peak_height_r,6.0,102,0.7647058823529411,0.06862745098039216
smiling_front,commissure_height_l,8.0,102,0.9117647058823529,0.5
smiling_front,commissure_height_r,8.0,102,0.9117647058823529,0.5
smiling_front,nasal_dorsal_deviation,4.0,102,0.6176470588235294,0.0
smiling_front,alar_base_intercanthal_ratio,12.0,102,1.0,0.8627450980392157
neutral_left_3quarter,interpupillary_distance,8.0,102,0.0,0.0
neutral_left_3quarter,intercanthal_width,8.0,102,0.0,0.0
neutral_left_3quarter,biocular_width,8.0,102,0.0,0.0
neutral_left_3quarter,nose_breadth,8.0,102,0.0,0.0
neutral_left_3quarter,mouth_width,8.0,102,0.0,0.0
neutral_left_3quarter,philtrum_width,8.0,102,0.0,0.0
neutral_left_3quarter,bizygomatic_width,5.0,102,0.0,0.0
neutral_left_3quarter,bigonial_width,5.0,102,0.0,0.0
neutral_left_3quarter,nose_height,6.0,102,0.0,0.0
neutral_left_3quarter,face_height_sellion_menton,6.0,102,0.0,0.0
neutral_left_3quarter,philtrum_length,6.0,102,0.0,0.0
neutral_left_3quarter,upper_face_height,6.0,102,0.0,0.0
neutral_left_3quarter,middle_third_height,6.0,102,0.0,0.0
neutral_left_3quarter,lower_third_height,6.0,102,0.0,0.0
neutral_left_3quarter,palpebral_fissure_width_l,6.0,102,0.0,0.0
neutral_left_3quarter,palpebral_fissure_height_l,6.0,102,0.0,0.0
neutral_left_3quarter,canthal_tilt_l,3.0,102,0.0,0.0
neutral_left_3quarter,eye_aspect_ratio_l,8.0,102,0.0,0.0
neutral_left_3quarter,palpebral_fissure_width_r,6.0,102,0.0,0.0
neutral_left_3quarter,palpebral_fissure_height_r,6.0,102,0.0,0.0
neutral_left_3quarter,canthal_tilt_r,3.0,102,0.0,0.0
neutral_left_3quarter,eye_aspect_ratio_r,8.0,102,0.0,0.0
neutral_left_3quarter,intercanthal_biocular_ratio,12.0,102,0.0,0.0
neutral_left_3quarter,nose_mouth_width_ratio,12.0,102,0.0,0.0
neutral_left_3quarter,eye_spacing_ratio,12.0,102,0.0,0.0
neutral_left_3quarter,facial_thirds_ratio,10.0,102,0.0,0.0
neutral_left_3quarter,lip_vermilion_ratio,10.0,102,0.0,0.0
neutral_left_3quarter,facial_width_height_ratio,5.0,102,0.0,0.0
neutral_left_3quarter,jaw_cheekbone_ratio,8.0,102,0.0,0.0
neutral_left_3quarter,ocular_height_asymmetry,10.0,102,0.0,0.0
neutral_left_3quarter,mouth_corner_asymmetry,10.0,102,0.0,0.0
neutral_left_3quarter,canthal_tilt_asymmetry,10.0,102,0.0,0.0
neutral_left_3quarter,brow_apex_lateral_offset_l,8.0,102,0.0,0.0
neutral_left_3quarter,margin_reflex_distance_1_l,6.0,102,0.0,0.0
neutral_left_3quarter,margin_reflex_distance_2_l,6.0,102,0.0,0.0
neutral_left_3quarter,medial_canthal_angle_l,6.0,102,0.0,0.0
neutral_left_3quarter,brow_apex_lateral_offset_r,8.0,102,0.0,0.0
neutral_left_3quarter,margin_reflex_distance_1_r,6.0,102,0.0,0.0
neutral_left_3quarter,margin_reflex_distance_2_r,6.0,102,0.0,0.0
neutral_left_3quarter,medial_canthal_angle_r,6.0,102,0.0,0.0
neutral_left_3quarter,upper_vermilion_height,6.0,102,0.0,0.0
neutral_left_3quarter,lower_vermilion_height,6.0,102,0.0,0.0
neutral_left_3quarter,cupids_bow_peak_height_l,6.0,102,0.0,0.0
neutral_left_3quarter,cupids_bow_peak_height_r,6.0,102,0.0,0.0
neutral_left_3quarter,commissure_height_l,8.0,102,0.0,0.0
neutral_left_3quarter,commissure_height_r,8.0,102,0.0,0.0
neutral_left_3quarter,nasal_dorsal_deviation,4.0,102,0.0,0.0
neutral_left_3quarter,alar_base_intercanthal_ratio,12.0,102,0.0,0.0
neutral_right_3quarter,interpupillary_distance,8.0,102,0.0,0.0
neutral_right_3quarter,intercanthal_width,8.0,102,0.0,0.0
neutral_right_3quarter,biocular_width,8.0,102,0.0,0.0
neutral_right_3quarter,nose_breadth,8.0,102,0.0,0.0
neutral_right_3quarter,mouth_width,8.0,102,0.0,0.0
neutral_right_3quarter,philtrum_width,8.0,102,0.0,0.0
neutral_right_3quarter,bizygomatic_width,5.0,102,0.0,0.0
neutral_right_3quarter,bigonial_width,5.0,102,0.0,0.0
neutral_right_3quarter,nose_height,6.0,102,0.0,0.0
neutral_right_3quarter,face_height_sellion_menton,6.0,102,0.0,0.0
neutral_right_3quarter,philtrum_length,6.0,102,0.0,0.0
neutral_right_3quarter,upper_face_height,6.0,102,0.0,0.0
neutral_right_3quarter,middle_third_height,6.0,102,0.0,0.0
neutral_right_3quarter,lower_third_height,6.0,102,0.0,0.0
neutral_right_3quarter,palpebral_fissure_width_l,6.0,102,0.0,0.0
neutral_right_3quarter,palpebral_fissure_height_l,6.0,102,0.0,0.0
neutral_right_3quarter,canthal_tilt_l,3.0,102,0.0,0.0
neutral_right_3quarter,eye_aspect_ratio_l,8.0,102,0.0,0.0
neutral_right_3quarter,palpebral_fissure_width_r,6.0,102,0.0,0.0
neutral_right_3quarter,palpebral_fissure_height_r,6.0,102,0.0,0.0
neutral_right_3quarter,canthal_tilt_r,3.0,102,0.0,0.0
neutral_right_3quarter,eye_aspect_ratio_r,8.0,102,0.0,0.0
neutral_right_3quarter,intercanthal_biocular_ratio,12.0,102,0.0,0.0
neutral_right_3quarter,nose_mouth_width_ratio,12.0,102,0.0,0.0
neutral_right_3quarter,eye_spacing_ratio,12.0,102,0.0,0.0
neutral_right_3quarter,facial_thirds_ratio,10.0,102,0.0,0.0
neutral_right_3quarter,lip_vermilion_ratio,10.0,102,0.0,0.0
neutral_right_3quarter,facial_width_height_ratio,5.0,102,0.0,0.0
neutral_right_3quarter,jaw_cheekbone_ratio,8.0,102,0.0,0.0
neutral_right_3quarter,ocular_height_asymmetry,10.0,102,0.0,0.0
neutral_right_3quarter,mouth_corner_asymmetry,10.0,102,0.0,0.0
neutral_right_3quarter,canthal_tilt_asymmetry,10.0,102,0.0,0.0
