condition,id,axis,angle_deg,value,deviation
3d,intercanthal_width,pitch,-27.5,32.0,0.0
3d,intercanthal_width,pitch,-25.0,32.0,0.0
3d,intercanthal_width,pitch,-22.5,32.0,0.0
3d,intercanthal_width,pitch,-20.0,32.0,0.0
3d,intercanthal_width,pitch,-17.5,32.0,0.0
3d,intercanthal_width,pitch,-15.0,32.0,0.0
3d,intercanthal_width,pitch,-12.5,32.0,0.0
3d,intercanthal_width,pitch,-10.0,32.0,0.0
3d,intercanthal_width,pitch,-7.5,32.0,0.0
3d,intercanthal_width,pitch,-5.0,32.0,0.0
3d,intercanthal_width,pitch,-2.5,32.0,0.0
3d,intercanthal_width,pitch,0.0,32.0,0.0
3d,intercanthal_width,pitch,2.5,32.0,0.0
3d,intercanthal_width,pitch,5.0,32.0,0.0
3d,intercanthal_width,pitch,7.5,32.0,0.0
3d,intercanthal_width,pitch,10.0,32.0,0.0
3d,intercanthal_width,pitch,12.5,32.0,0.0
3d,intercanthal_width,pitch,15.0,32.0,0.0
3d,intercanthal_width,pitch,17.5,32.0,0.0
3d,intercanthal_width,pitch,20.0,32.0,0.0
3d,intercanthal_width,pitch,22.5,32.0,0.0
3d,intercanthal_width,pitch,25.0,32.0,0.0
3d,intercanthal_width,pitch,27.5,32.0,0.0
3d,intercanthal_width,pitch,30.0,32.0,0.0
3d,intercanthal_width,roll,-30.0,32.0,0.0
3d,intercanthal_width,roll,-27.5,32.0,0.0
3d,intercanthal_width,roll,-25.0,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,roll,-22.5,32.0,0.0
3d,intercanthal_width,roll,-20.0,32.0,0.0
3d,intercanthal_width,roll,-17.5,32.0,0.0
3d,intercanthal_width,roll,-15.0,32.0,0.0
3d,intercanthal_width,roll,-12.5,32.0,0.0
3d,intercanthal_width,roll,-10.0,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,roll,-7.5,32.0,0.0
3d,intercanthal_width,roll,-5.0,32.0,0.0
3d,intercanthal_width,roll,-2.5,32.0,0.0
3d,intercanthal_width,roll,0.0,32.0,0.0
3d,intercanthal_width,roll,2.5,32.0,0.0
3d,intercanthal_width,roll,5.0,32.0,0.0
3d,intercanthal_width,roll,7.5,32.0,0.0
3d,intercanthal_width,roll,10.0,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,roll,12.5,32.0,0.0
3d,intercanthal_width,roll,15.0,32.0,0.0
3d,intercanthal_width,roll,17.5,32.0,0.0
3d,intercanthal_width,roll,20.0,32.0,0.0
3d,intercanthal_width,roll,22.5,32.0,0.0
3d,intercanthal_width,roll,25.0,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,roll,27.5,32.0,0.0
3d,intercanthal_width,roll,30.0,32.0,0.0
3d,biocular_width,yaw,-30.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-27.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-25.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-22.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-20.0,90.00144981797378,0.0
3d,biocular_width,yaw,-17.5,90.00144981797378,0.0
3d,biocular_width,yaw,-15.0,90.00144981797378,0.0
3d,biocular_width,yaw,-12.5,90.00144981797378,0.0
3d,biocular_width,yaw,-10.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,-5.0,90.00144981797378,0.0
3d,biocular_width,yaw,-2.5,90.00144981797378,0.0
3d,biocular_width,yaw,0.0,90.00144981797378,0.0
3d,biocular_width,yaw,2.5,90.00144981797378,0.0
3d,biocular_width,yaw,5.0,90.00144981797378,0.0
3d,biocular_width,yaw,7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,10.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,12.5,90.00144981797378,0.0
3d,biocular_width,yaw,15.0,90.00144981797378,0.0
3d,biocular_width,yaw,17.5,90.00144981797378,0.0
3d,biocular_width,yaw,20.0,90.00144981797378,0.0
3d,biocular_width,yaw,22.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,25.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,27.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,yaw,30.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,-30.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,-27.5,90.00144981797378,0.0
3d,biocular_width,pitch,-25.0,90.00144981797378,0.0
3d,biocular_width,pitch,-22.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,-20.0,90.00144981797378,0.0
3d,biocular_width,pitch,-17.5,90.00144981797378,0.0
3d,biocular_width,pitch,-15.0,90.00144981797378,0.0
3d,biocular_width,pitch,-12.5,90.00144981797378,0.0
3d,biocular_width,pitch,-10.0,90.00144981797378,0.0
3d,biocular_width,pitch,-7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,-5.0,90.00144981797378,0.0
3d,biocular_width,pitch,-2.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,0.0,90.00144981797378,0.0
3d,biocular_width,pitch,2.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,5.0,90.00144981797378,0.0
3d,biocular_width,pitch,7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,10.0,90.00144981797378,0.0
3d,biocular_width,pitch,12.5,90.00144981797378,0.0
3d,biocular_width,pitch,15.0,90.00144981797378,0.0
3d,biocular_width,pitch,17.5,90.00144981797378,0.0
3d,biocular_width,pitch,20.0,90.00144981797378,0.0
3d,biocular_width,pitch,22.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,pitch,25.0,90.00144981797378,0.0
3d,biocular_width,pitch,27.5,90.00144981797378,0.0
3d,biocular_width,pitch,30.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-30.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-27.5,90.00144981797378,0.0
3d,biocular_width,roll,-25.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-22.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-20.0,90.00144981797379,1.5789584216635606e-16
3d,biocular_width,roll,-17.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-15.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-12.5,90.00144981797378,0.0
3d,biocular_width,roll,-10.0,90.00144981797375,-3.157916843327121e-16
3d,biocular_width,roll,-7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,-5.0,90.00144981797379,1.5789584216635606e-16
3d,biocular_width,roll,-2.5,90.00144981797379,1.5789584216635606e-16
3d,biocular_width,roll,0.0,90.00144981797378,0.0
3d,biocular_width,roll,2.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,5.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,7.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,10.0,90.00144981797378,0.0
3d,biocular_width,roll,12.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,15.0,90.00144981797378,0.0
3d,biocular_width,roll,17.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,20.0,90.00144981797378,0.0
3d,biocular_width,roll,22.5,90.00144981797378,0.0
3d,biocular_width,roll,25.0,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,27.5,90.00144981797376,-1.5789584216635606e-16
3d,biocular_width,roll,30.0,90.00144981797376,-1.5789584216635606e-16
3d,nose_breadth,yaw,-30.0,34.0,0.0
3d,nose_breadth,yaw,-27.5,34.0,0.0
3d,nose_breadth,yaw,-25.0,34.0,0.0
3d,nose_breadth,yaw,-22.5,34.0,0.0
3d,nose_breadth,yaw,-20.0,34.0,0.0
3d,nose_breadth,yaw,-17.5,34.00000000000001,2.0898315757650005e-16
3d,nose_breadth,yaw,-15.0,34.0,0.0
3d,nose_breadth,yaw,-12.5,34.0,0.0
3d,nose_breadth,yaw,-10.0,34.0,0.0
3d,nose_breadth,yaw,-7.5,34.0,0.0
3d,nose_breadth,yaw,-5.0,34.0,0.0
3d,nose_breadth,yaw,-2.5,34.0,0.0
3d,nose_breadth,yaw,0.0,34.0,0.0
3d,nose_breadth,yaw,2.5,34.0,0.0
3d,nose_breadth,yaw,5.0,34.0,0.0
3d,nose_breadth,yaw,7.5,34.0,0.0
3d,nose_breadth,yaw,10.0,34.0,0.0
3d,nose_breadth,yaw,12.5,34.0,0.0
3d,nose_breadth,yaw,15.0,34.0,0.0
3d,nose_breadth,yaw,17.5,34.00000000000001,2.0898315757650005e-16
3d,nose_breadth,yaw,20.0,34.0,0.0
3d,nose_breadth,yaw,22.5,34.0,0.0
3d,nose_breadth,yaw,25.0,34.0,0.0
3d,nose_breadth,yaw,27.5,34.0,0.0
3d,nose_breadth,yaw,30.0,34.0,0.0
3d,nose_breadth,pitch,-30.0,34.0,0.0
3d,nose_breadth,pitch,-27.5,34.0,0.0
3d,nose_breadth,pitch,-25.0,34.0,0.0
3d,nose_breadth,pitch,-22.5,34.0,0.0
3d,nose_breadth,pitch,-20.0,34.0,0.0
3d,nose_breadth,pitch,-17.5,34.0,0.0
3d,nose_breadth,pitch,-15.0,34.0,0.0
3d,nose_breadth,pitch,-12.5,34.0,0.0
3d,nose_breadth,pitch,-10.0,34.0,0.0
3d,nose_breadth,pitch,-7.5,34.0,0.0
3d,nose_breadth,pitch,-5.0,34.0,0.0
3d,nose_breadth,pitch,-2.5,34.0,0.0
3d,nose_breadth,pitch,0.0,34.0,0.0
3d,nose_breadth,pitch,2.5,34.0,0.0
3d,nose_breadth,pitch,5.0,34.0,0.0
3d,nose_breadth,pitch,7.5,34.0,0.0
3d,nose_breadth,pitch,10.0,34.0,0.0
3d,nose_breadth,pitch,12.5,34.0,0.0
3d,nose_breadth,pitch,15.0,34.0,0.0
3d,nose_breadth,pitch,17.5,34.0,0.0
3d,nose_breadth,pitch,20.0,34.0,0.0
3d,nose_breadth,pitch,22.5,34.0,0.0
3d,nose_breadth,pitch,25.0,34.0,0.0
3d,nose_breadth,pitch,27.5,34.0,0.0
3d,nose_breadth,pitch,30.0,34.0,0.0
3d,nose_breadth,roll,-30.0,34.0,0.0
3d,nose_breadth,roll,-27.5,34.0,0.0
3d,nose_breadth,roll,-25.0,34.0,0.0
3d,nose_breadth,roll,-22.5,34.0,0.0
3d,nose_breadth,roll,-20.0,34.0,0.0
3d,nose_breadth,roll,-17.5,34.0,0.0
3d,nose_breadth,roll,-15.0,34.0,0.0
3d,nose_breadth,roll,-12.5,34.0,0.0
3d,nose_breadth,roll,-10.0,34.0,0.0
3d,nose_breadth,roll,-7.5,34.0,0.0
3d,nose_breadth,roll,-5.0,34.0,0.0
3d,nose_breadth,roll,-2.5,34.0,0.0
3d,nose_breadth,roll,0.0,34.0,0.0
3d,nose_breadth,roll,2.5,34.0,0.0
3d,nose_breadth,roll,5.0,34.0,0.0
3d,nose_breadth,roll,7.5,34.0,0.0
3d,nose_breadth,roll,10.0,34.0,0.0
3d,nose_breadth,roll,12.5,34.0,0.0
